Class,Share target (%),Users target (millions)
Penicillins (J01C),15-20,22-30
Beta-lactamase combinations (J01CR),20-25,30-40
Cephalosporins (J01D),15-22,22-35
Macrolides (J01F),10-15,15-25
Quinolones/Fluoroquinolones (J01M),8-15,12-20
Tetracyclines (J01A),3-8,5-15
Carbapenems (J01DH),1-3,1.5-4.5
Aminoglycosides (J01G),1-3,1.5-4.5
Sulfonamides (J01E),4-8,6-12
Nitrofurans (J01XE),4-7,6-11
Glycopeptides & Oxazolidinones,0.5-2,0.7-3
Polymyxins (J01XB),0.02-0.1,0.03-0.15
Rifamycins (J04AB),0.05-0.3,0.07-0.45
Chloramphenicol (J01BA),0.02-0.2,0.03-0.3
Other Antibiotics,0.01-0.4,0.01-0.6
