Bacteria,sulfanilamide,penicillin_g,ampicillin,amoxicillin,piperacillin,ticarcillin,cephalexin,cefazolin,cefuroxime,ceftriaxone,cefixime,ceftazidime,cefepime,ceftaroline,meropenem,imipenem_c,ertapenem,aztreonam,erythromycin,azithromycin,clarithromycin,clindamycin,gentamicin,tobramycin,amikacin,ciprofloxacin,levofloxacin,moxifloxacin,ofloxacin,tetracycline,doxycycline,minocycline,tigecycline,vancomycin,fidaxomicin,teicoplanin,dalbavancin,linezolid,tedizolid,daptomycin,quinu_dalfo,trim_sulf,chloramphenicol,nitrofurantoin,fosfomycin,retapamulin,fusidic_a,metronidazole,furazolidone,rifampicin,amoxicillin_clavulanate,piperacillin_tazobactam,ampicillin_sulbactam,ticarcillin_clavulanate,ceftazidime_avibactam,aztreonam_avibactam,meropenem_vaborbactam,colistin,flucloxacillin,cefiderocol,ceftolozane_tazobactam
Acinetobacter baumannii,.,.,.,.,0.90,0.88,.,.,.,.,.,0.88,0.85,.,0.84,0.82,.,.,.,.,.,.,0.88,0.85,0.80,0.92,0.90,0.88,0.90,0.82,0.80,0.78,0.78,.,.,.,.,.,.,.,.,0.88,0.88,.,.,.,.,.,.,0.88,.,0.78,.,0.80,0.70,0.70,0.65,0.75,.,0.60,.
Citrobacter spp.,0.62,.,0.72,0.72,0.72,0.72,0.75,0.75,0.72,0.70,0.70,0.75,0.72,0.78,0.62,0.62,0.65,0.72,.,.,.,.,0.72,0.75,0.70,0.75,0.72,0.75,0.75,0.70,0.68,0.65,0.65,.,.,.,.,.,.,.,.,0.72,0.70,0.65,0.65,.,.,.,.,0.68,0.70,0.68,0.72,0.72,0.62,0.62,0.62,0.68,0.75,0.60,0.70
Enterobacter spp.,0.62,.,0.78,0.78,0.72,0.75,0.78,0.78,0.75,0.82,0.82,0.75,0.72,0.82,0.65,0.65,0.68,0.75,.,.,.,.,0.72,0.75,0.70,0.75,0.72,0.75,0.75,0.70,0.68,0.65,0.65,.,.,.,.,.,.,.,.,0.75,0.72,0.70,0.70,.,.,.,.,0.70,0.72,0.70,0.78,0.75,0.62,0.62,0.62,0.68,0.78,0.60,0.70
Enterococcus faecalis,.,0.62,0.62,0.62,0.68,0.68,.,.,.,.,.,.,.,.,0.68,0.68,.,.,0.78,0.75,0.78,0.80,.,.,.,0.75,0.72,0.75,0.75,0.68,0.65,0.62,0.62,0.60,0.60,0.62,0.62,0.60,0.60,0.60,.,0.72,0.70,0.62,0.62,.,.,.,.,.,0.62,0.68,0.62,0.68,.,.,0.68,.,.,.,.
Enterococcus faecium,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.88,0.85,0.88,0.90,.,.,.,0.92,0.90,0.92,0.92,0.82,0.80,0.78,0.78,0.78,0.78,0.80,0.80,0.62,0.62,0.62,0.82,0.92,0.90,0.88,0.88,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Escherichia coli,0.70,.,0.88,0.88,0.75,0.78,0.88,0.88,0.85,0.80,0.80,0.82,0.78,0.80,0.78,0.75,0.75,0.80,.,.,.,.,0.75,0.78,0.70,0.85,0.82,0.80,0.85,0.78,0.75,0.70,0.70,.,.,.,.,.,.,.,.,0.80,0.75,0.65,0.65,.,.,.,.,0.70,0.68,0.65,0.75,0.78,0.60,0.60,0.58,0.70,0.88,0.60,0.70
Klebsiella pneumoniae,0.72,.,0.94,0.94,0.80,0.82,0.94,0.94,0.90,0.84,0.84,0.82,0.80,0.88,0.84,0.82,0.84,0.82,.,.,.,.,0.80,0.82,0.75,0.85,0.82,0.80,0.85,0.78,0.75,0.70,0.70,.,.,.,.,.,.,.,.,0.82,0.78,0.75,0.75,.,.,.,.,0.75,0.72,0.70,0.88,0.84,0.68,0.68,0.62,0.75,0.94,0.60,0.70
Legionella pneumophila,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.55,0.55,0.55,.,.,.,.,0.55,0.55,0.55,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.55,0.70
Morganella spp.,0.68,.,0.78,0.78,0.75,0.78,0.78,0.78,0.75,0.75,0.75,0.78,0.75,0.82,0.62,0.62,0.65,0.72,.,.,.,.,0.72,0.75,0.70,0.75,0.72,0.75,0.75,0.70,0.68,0.65,0.65,.,.,.,.,.,.,.,.,0.75,0.72,0.70,0.70,.,.,.,.,0.70,0.72,0.70,0.78,0.75,0.62,0.62,0.62,0.68,0.78,0.60,0.70
Proteus spp.,0.68,.,0.72,0.72,0.70,0.72,0.72,0.72,0.70,0.68,0.68,0.70,0.68,0.72,0.62,0.62,0.62,0.70,.,.,.,.,0.72,0.75,0.70,0.72,0.70,0.72,0.72,0.68,0.65,0.62,0.62,.,.,.,.,.,.,.,.,0.72,0.70,0.62,0.62,.,.,.,.,0.68,0.68,0.65,0.70,0.70,0.62,0.62,0.62,0.68,0.72,0.60,0.70
