region,age_group,age_share,age_population,regional_total_population,world_population_share,year,sex,source_revision,source_sheet,source_date,source_regions,un_location_codes,source_rows,source_url
north_america,0_5,0.077177329852459,46983249.5000,608770083.0000,0.075233567123287,2023,both,WPP2024,Estimates,2023-07-01,Northern America|Central America|Caribbean,905|916|915,19558|17782|15636,https://population.un.org/wpp/assets/Excel%20Files/1_Indicator%20(Standard)/EXCEL_FILES/2_Population/WPP2024_POP_F01_1_POPULATION_SINGLE_AGE_BOTH_SEXES.xlsx
north_america,6_14,0.126230047510400,76845076.5000,608770083.0000,0.075233567123287,2023,both,WPP2024,Estimates,2023-07-01,Northern America|Central America|Caribbean,905|916|915,19558|17782|15636,https://population.un.org/wpp/assets/Excel%20Files/1_Indicator%20(Standard)/EXCEL_FILES/2_Population/WPP2024_POP_F01_1_POPULATION_SINGLE_AGE_BOTH_SEXES.xlsx
north_america,15_49,0.486688889243593,296281635.5000,608770083.0000,0.075233567123287,2023,both,WPP2024,Estimates,2023-07-01,Northern America|Central America|Caribbean,905|916|915,19558|17782|15636,https://population.un.org/wpp/assets/Excel%20Files/1_Indicator%20(Standard)/EXCEL_FILES/2_Population/WPP2024_POP_F01_1_POPULATION_SINGLE_AGE_BOTH_SEXES.xlsx
north_america,50_79,0.278926000540667,169801804.5000,608770083.0000,0.075233567123287,2023,both,WPP2024,Estimates,2023-07-01,Northern America|Central America|Caribbean,905|916|915,19558|17782|15636,https://population.un.org/wpp/assets/Excel%20Files/1_Indicator%20(Standard)/EXCEL_FILES/2_Population/WPP2024_POP_F01_1_POPULATION_SINGLE_AGE_BOTH_SEXES.xlsx
north_america,80plus,0.030977732852881,18858317.0000,608770083.0000,0.075233567123287,2023,both,WPP2024,Estimates,2023-07-01,Northern America|Central America|Caribbean,905|916|915,19558|17782|15636,https://population.un.org/wpp/assets/Excel%20Files/1_Indicator%20(Standard)/EXCEL_FILES/2_Population/WPP2024_POP_F01_1_POPULATION_SINGLE_AGE_BOTH_SEXES.xlsx
south_america,0_5,0.081654221730230,35358252.0000,433024175.0000,0.053514379641203,2023,both,WPP2024,Estimates,2023-07-01,South America,931,18448,https://population.un.org/wpp/assets/Excel%20Files/1_Indicator%20(Standard)/EXCEL_FILES/2_Population/WPP2024_POP_F01_1_POPULATION_SINGLE_AGE_BOTH_SEXES.xlsx
south_america,6_14,0.133873777370513,57970582.0000,433024175.0000,0.053514379641203,2023,both,WPP2024,Estimates,2023-07-01,South America,931,18448,https://population.un.org/wpp/assets/Excel%20Files/1_Indicator%20(Standard)/EXCEL_FILES/2_Population/WPP2024_POP_F01_1_POPULATION_SINGLE_AGE_BOTH_SEXES.xlsx
south_america,15_49,0.524832966889204,227265362.5000,433024175.0000,0.053514379641203,2023,both,WPP2024,Estimates,2023-07-01,South America,931,18448,https://population.un.org/wpp/assets/Excel%20Files/1_Indicator%20(Standard)/EXCEL_FILES/2_Population/WPP2024_POP_F01_1_POPULATION_SINGLE_AGE_BOTH_SEXES.xlsx
south_america,50_79,0.240187973338902,104007199.0000,433024175.0000,0.053514379641203,2023,both,WPP2024,Estimates,2023-07-01,South America,931,18448,https://population.un.org/wpp/assets/Excel%20Files/1_Indicator%20(Standard)/EXCEL_FILES/2_Population/WPP2024_POP_F01_1_POPULATION_SINGLE_AGE_BOTH_SEXES.xlsx
south_america,80plus,0.019451060671151,8422779.5000,433024175.0000,0.053514379641203,2023,both,WPP2024,Estimates,2023-07-01,South America,931,18448,https://population.un.org/wpp/assets/Excel%20Files/1_Indicator%20(Standard)/EXCEL_FILES/2_Population/WPP2024_POP_F01_1_POPULATION_SINGLE_AGE_BOTH_SEXES.xlsx
europe,0_5,0.056335167736803,42003663.0000,745602874.5000,0.092143759150548,2023,both,WPP2024,Estimates,2023-07-01,Europe,908,11491,https://population.un.org/wpp/assets/Excel%20Files/1_Indicator%20(Standard)/EXCEL_FILES/2_Population/WPP2024_POP_F01_1_POPULATION_SINGLE_AGE_BOTH_SEXES.xlsx
europe,6_14,0.098739438269159,73620409.0000,745602874.5000,0.092143759150548,2023,both,WPP2024,Estimates,2023-07-01,Europe,908,11491,https://population.un.org/wpp/assets/Excel%20Files/1_Indicator%20(Standard)/EXCEL_FILES/2_Population/WPP2024_POP_F01_1_POPULATION_SINGLE_AGE_BOTH_SEXES.xlsx
europe,15_49,0.439073155021749,327374206.5000,745602874.5000,0.092143759150548,2023,both,WPP2024,Estimates,2023-07-01,Europe,908,11491,https://population.un.org/wpp/assets/Excel%20Files/1_Indicator%20(Standard)/EXCEL_FILES/2_Population/WPP2024_POP_F01_1_POPULATION_SINGLE_AGE_BOTH_SEXES.xlsx
europe,50_79,0.351802167710125,262304707.5000,745602874.5000,0.092143759150548,2023,both,WPP2024,Estimates,2023-07-01,Europe,908,11491,https://population.un.org/wpp/assets/Excel%20Files/1_Indicator%20(Standard)/EXCEL_FILES/2_Population/WPP2024_POP_F01_1_POPULATION_SINGLE_AGE_BOTH_SEXES.xlsx
europe,80plus,0.054050071262165,40299888.5000,745602874.5000,0.092143759150548,2023,both,WPP2024,Estimates,2023-07-01,Europe,908,11491,https://population.un.org/wpp/assets/Excel%20Files/1_Indicator%20(Standard)/EXCEL_FILES/2_Population/WPP2024_POP_F01_1_POPULATION_SINGLE_AGE_BOTH_SEXES.xlsx
asia,0_5,0.085850395964430,410193577.0000,4778004485.5000,0.590479609976547,2023,both,WPP2024,Estimates,2023-07-01,Asia,935,7273,https://population.un.org/wpp/assets/Excel%20Files/1_Indicator%20(Standard)/EXCEL_FILES/2_Population/WPP2024_POP_F01_1_POPULATION_SINGLE_AGE_BOTH_SEXES.xlsx
asia,6_14,0.143858328217553,687355737.5000,4778004485.5000,0.590479609976547,2023,both,WPP2024,Estimates,2023-07-01,Asia,935,7273,https://population.un.org/wpp/assets/Excel%20Files/1_Indicator%20(Standard)/EXCEL_FILES/2_Population/WPP2024_POP_F01_1_POPULATION_SINGLE_AGE_BOTH_SEXES.xlsx
asia,15_49,0.512140626264801,2447010209.5000,4778004485.5000,0.590479609976547,2023,both,WPP2024,Estimates,2023-07-01,Asia,935,7273,https://population.un.org/wpp/assets/Excel%20Files/1_Indicator%20(Standard)/EXCEL_FILES/2_Population/WPP2024_POP_F01_1_POPULATION_SINGLE_AGE_BOTH_SEXES.xlsx
asia,50_79,0.240502042324841,1149119837.0000,4778004485.5000,0.590479609976547,2023,both,WPP2024,Estimates,2023-07-01,Asia,935,7273,https://population.un.org/wpp/assets/Excel%20Files/1_Indicator%20(Standard)/EXCEL_FILES/2_Population/WPP2024_POP_F01_1_POPULATION_SINGLE_AGE_BOTH_SEXES.xlsx
asia,80plus,0.017648607228374,84325124.5000,4778004485.5000,0.590479609976547,2023,both,WPP2024,Estimates,2023-07-01,Asia,935,7273,https://population.un.org/wpp/assets/Excel%20Files/1_Indicator%20(Standard)/EXCEL_FILES/2_Population/WPP2024_POP_F01_1_POPULATION_SINGLE_AGE_BOTH_SEXES.xlsx
africa,0_5,0.169940409233902,251642749.000,1480770525.0000,0.182997903145599,2023,both,WPP2024,Estimates,2023-07-01,Africa,903,2537,https://population.un.org/wpp/assets/Excel%20Files/1_Indicator%20(Standard)/EXCEL_FILES/2_Population/WPP2024_POP_F01_1_POPULATION_SINGLE_AGE_BOTH_SEXES.xlsx
africa,6_14,0.224398220649347,332282271.0000,1480770525.0000,0.182997903145599,2023,both,WPP2024,Estimates,2023-07-01,Africa,903,2537,https://population.un.org/wpp/assets/Excel%20Files/1_Indicator%20(Standard)/EXCEL_FILES/2_Population/WPP2024_POP_F01_1_POPULATION_SINGLE_AGE_BOTH_SEXES.xlsx
africa,15_49,0.490379329369755,726139257.0000,1480770525.0000,0.182997903145599,2023,both,WPP2024,Estimates,2023-07-01,Africa,903,2537,https://population.un.org/wpp/assets/Excel%20Files/1_Indicator%20(Standard)/EXCEL_FILES/2_Population/WPP2024_POP_F01_1_POPULATION_SINGLE_AGE_BOTH_SEXES.xlsx
africa,50_79,0.110702207892746,163924566.5000,1480770525.0000,0.182997903145599,2023,both,WPP2024,Estimates,2023-07-01,Africa,903,2537,https://population.un.org/wpp/assets/Excel%20Files/1_Indicator%20(Standard)/EXCEL_FILES/2_Population/WPP2024_POP_F01_1_POPULATION_SINGLE_AGE_BOTH_SEXES.xlsx
africa,80plus,0.004579832854250,6781681.5000,1480770525.0000,0.182997903145599,2023,both,WPP2024,Estimates,2023-07-01,Africa,903,2537,https://population.un.org/wpp/assets/Excel%20Files/1_Indicator%20(Standard)/EXCEL_FILES/2_Population/WPP2024_POP_F01_1_POPULATION_SINGLE_AGE_BOTH_SEXES.xlsx
oceania,0_5,0.090063630216475,4103550.0000,45562787.0000,0.005630780962816,2023,both,WPP2024,Estimates,2023-07-01,Oceania,909,20002,https://population.un.org/wpp/assets/Excel%20Files/1_Indicator%20(Standard)/EXCEL_FILES/2_Population/WPP2024_POP_F01_1_POPULATION_SINGLE_AGE_BOTH_SEXES.xlsx
oceania,6_14,0.136594750009476,6223637.5000,45562787.0000,0.005630780962816,2023,both,WPP2024,Estimates,2023-07-01,Oceania,909,20002,https://population.un.org/wpp/assets/Excel%20Files/1_Indicator%20(Standard)/EXCEL_FILES/2_Population/WPP2024_POP_F01_1_POPULATION_SINGLE_AGE_BOTH_SEXES.xlsx
