time_step,total_population,asia_population,asia_prop_age_0_5,asia_prop_age_6_14,asia_prop_age_15_49,asia_prop_age_50_79,asia_prop_age_80plus,africa_population,africa_prop_age_0_5,africa_prop_age_6_14,africa_prop_age_15_49,africa_prop_age_50_79,africa_prop_age_80plus,europe_population,europe_prop_age_0_5,europe_prop_age_6_14,europe_prop_age_15_49,europe_prop_age_50_79,europe_prop_age_80plus,north_america_population,north_america_prop_age_0_5,north_america_prop_age_6_14,north_america_prop_age_15_49,north_america_prop_age_50_79,north_america_prop_age_80plus,south_america_population,south_america_prop_age_0_5,south_america_prop_age_6_14,south_america_prop_age_15_49,south_america_prop_age_50_79,south_america_prop_age_80plus,oceania_population,oceania_prop_age_0_5,oceania_prop_age_6_14,oceania_prop_age_15_49,oceania_prop_age_50_79,oceania_prop_age_80plus
33580,5575665,3096285,0.122781,0.168985,0.49953799999999998,0.204154,0.0045430000000000002,982836,0.121554,0.17130899999999999,0.50063800000000003,0.20228099999999999,0.0042170000000000003,693013,0.103197,0.142207,0.46812500000000001,0.26972699999999999,0.016743999999999998,382466,0.116656,0.16117000000000001,0.48769800000000002,0.223887,0.010588999999999999,277675,0.12997900000000001,0.17652999999999999,0.48772100000000002,0.19989899999999999,0.0058700000000000002,143390,0.1124,0.13388700000000001,0.49833300000000003,0.23921500000000001,0.016166
33581,5575917,3096551,0.122781,0.168962,0.49954599999999999,0.20416300000000001,0.0045490000000000001,982893,0.121557,0.171315,0.50063100000000005,0.20227100000000001,0.0042249999999999996,693038,0.103212,0.14219399999999999,0.46812700000000002,0.26971200000000001,0.016754000000000002,382394,0.116631,0.161192,0.48773300000000003,0.22383500000000001,0.010609,277668,0.13001099999999999,0.176563,0.487626,0.19991100000000001,0.005888,143373,0.112427,0.13391600000000001,0.49825999999999998,0.239201,0.016195999999999999
33582,5576142,3096664,0.12277399999999999,0.16897200000000001,0.49953500000000001,0.20416799999999999,0.0045510000000000004,982943,0.121548,0.17131399999999999,0.50064399999999998,0.202261,0.0042319999999999997,693071,0.103197,0.14217199999999999,0.46816099999999999,0.2697,0.01677,382388,0.11663,0.16117400000000001,0.48768299999999998,0.22387499999999999,0.010638,277681,0.13002,0.176566,0.48760300000000001,0.19992699999999999,0.0058840000000000003,143395,0.112473,0.13389599999999999,0.49828800000000001,0.239151,0.016192999999999999
33583,5576363,3096799,0.122782,0.168964,0.49952299999999999,0.20417199999999999,0.0045589999999999997,982956,0.121528,0.17130500000000001,0.50066500000000003,0.202265,0.0042360000000000002,693125,0.103182,0.14217299999999999,0.46814099999999997,0.26974500000000001,0.016759,382409,0.116606,0.161131,0.48775000000000002,0.223881,0.010633,277700,0.13003200000000001,0.17652100000000001,0.48770599999999997,0.19983400000000001,0.0059059999999999998,143374,0.112566,0.13378300000000001,0.49834000000000001,0.239067,0.016244000000000001
33584,5576578,3096868,0.122767,0.168959,0.49952999999999997,0.204177,0.0045669999999999999,983049,0.121541,0.17131099999999999,0.50064500000000001,0.202266,0.0042370000000000003,693172,0.10319399999999999,0.14218700000000001,0.46810000000000002,0.26974100000000001,0.016778000000000001,382422,0.11659600000000001,0.16111800000000001,0.48775400000000002,0.22389400000000001,0.010637000000000001,277679,0.13004599999999999,0.17649899999999999,0.48770000000000002,0.19986000000000001,0.0058950000000000001,143388,0.11259,0.13369300000000001,0.49836799999999998,0.239093,0.016257000000000001
33585,5576776,3096948,0.122765,0.16894700000000001,0.49954100000000001,0.20417299999999999,0.0045739999999999999,983088,0.121517,0.17130600000000001,0.50064900000000001,0.20228599999999999,0.0042420000000000001,693179,0.103223,0.142203,0.46806399999999998,0.26972499999999999,0.016785000000000001,382451,0.116614,0.161134,0.48774400000000001,0.223859,0.01065,277684,0.13003999999999999,0.17651700000000001,0.48768699999999998,0.199853,0.0059020000000000001,143426,0.11254599999999999,0.13370000000000001,0.49831300000000001,0.239176,0.016265999999999999
33586,5576972,3097095,0.122769,0.16893,0.499527,0.20419599999999999,0.0045779999999999996,983123,0.121514,0.17128599999999999,0.50065400000000004,0.202296,0.0042509999999999996,693167,0.10320600000000001,0.14223,0.46810499999999999,0.26966200000000001,0.016796999999999999,382457,0.116593,0.161134,0.48780600000000002,0.223803,0.010663000000000001,277693,0.129964,0.17655799999999999,0.48773300000000003,0.19983899999999999,0.0059059999999999998,143437,0.112607,0.13361300000000001,0.49833,0.23916399999999999,0.016285999999999998
33587,5577195,3097276,0.122769,0.16891900000000001,0.49953199999999998,0.20419599999999999,0.0045840000000000004,983142,0.121501,0.171295,0.50065000000000004,0.20230000000000001,0.004254,693231,0.10322000000000001,0.142207,0.46811399999999997,0.26964500000000002,0.016815,382424,0.116609,0.16112199999999999,0.48780899999999999,0.22378799999999999,0.010671,277682,0.129972,0.176562,0.487734,0.19982900000000001,0.0059020000000000001,143440,0.112591,0.13361700000000001,0.49824299999999999,0.239285,0.016265000000000002
33588,5577452,3097400,0.122781,0.16891400000000001,0.49952600000000003,0.20419300000000001,0.0045859999999999998,983174,0.121514,0.17127700000000001,0.50065400000000004,0.202291,0.0042649999999999997,693231,0.10317800000000001,0.14219899999999999,0.46815400000000001,0.269646,0.016823000000000001,382487,0.116616,0.16104099999999999,0.48788599999999999,0.223772,0.010685,277696,0.129915,0.176646,0.48770200000000002,0.199826,0.0059090000000000002,143464,0.11266900000000001,0.133525,0.49817400000000001,0.23936299999999999,0.016268999999999999
33589,5577658,3097492,0.122769,0.16891900000000001,0.49953199999999998,0.20419000000000001,0.0045900000000000003,983230,0.121518,0.17127300000000001,0.50064600000000004,0.20229,0.0042729999999999999,693276,0.103209,0.14216599999999999,0.46812100000000001,0.26967600000000003,0.016829,382526,0.116604,0.16105800000000001,0.48792000000000002,0.223718,0.010699999999999999,277668,0.12995399999999999,0.17660300000000001,0.48765799999999998,0.19986499999999999,0.005921,143466,0.112542,0.13355800000000001,0.49829200000000001,0.239346,0.016261999999999999
33590,5577833,3097533,0.122764,0.16891800000000001,0.49953199999999998,0.20419200000000001,0.004594,983280,0.121507,0.17127500000000001,0.50063999999999997,0.202295,0.0042839999999999996,693277,0.103226,0.14218,0.468107,0.26965800000000001,0.016829,382599,0.11655500000000001,0.161082,0.48792600000000003,0.22373599999999999,0.010699999999999999,277677,0.12997800000000001,0.17660100000000001,0.487595,0.19988700000000001,0.0059389999999999998,143467,0.112458,0.13351499999999999,0.49832399999999999,0.23943500000000001,0.016268999999999999
33591,5578069,3097673,0.12277100000000001,0.168908,0.499529,0.20419300000000001,0.0045979999999999997,983312,0.12151099999999999,0.17125499999999999,0.500637,0.20230799999999999,0.0042900000000000004,693329,0.103182,0.142176,0.46812100000000001,0.26968700000000001,0.016833000000000001,382623,0.11654299999999999,0.16113,0.48792400000000002,0.22369,0.010713,277701,0.129964,0.17657500000000001,0.48763200000000001,0.19988,0.0059490000000000003,143431,0.1125,0.133549,0.49828800000000001,0.23941100000000001,0.016251999999999999
33592,5578291,3097648,0.122767,0.168902,0.49952999999999997,0.20419599999999999,0.0046049999999999997,983405,0.121516,0.17124300000000001,0.50063800000000003,0.20231199999999999,0.0042909999999999997,693336,0.10319399999999999,0.142123,0.46815000000000001,0.2697,0.016833000000000001,382731,0.116518,0.16117300000000001,0.48787000000000003,0.223718,0.01072,277748,0.12997,0.17660600000000001,0.48761100000000002,0.19985,0.0059620000000000003,143423,0.11250599999999999,0.133605,0.49835800000000002,0.239257,0.016274
