source_region,un_location_code,year,age,population_thousands,source_row
Africa,903,2023,0,44111.383,2537
Africa,903,2023,1,42973.452,2537
Africa,903,2023,2,42158.287,2537
Africa,903,2023,3,41414.482,2537
Africa,903,2023,4,40769.1,2537
Africa,903,2023,5,40216.045,2537
Africa,903,2023,6,39628.86,2537
Africa,903,2023,7,39027.8765,2537
Africa,903,2023,8,38444.2095,2537
Africa,903,2023,9,37745.2675,2537
Africa,903,2023,10,37012.626,2537
Africa,903,2023,11,36278.3895,2537
Africa,903,2023,12,35531.81,2537
Africa,903,2023,13,34736.671,2537
Africa,903,2023,14,33876.561,2537
Africa,903,2023,15,32989.741,2537
Africa,903,2023,16,32077.2525,2537
Africa,903,2023,17,31142.0465,2537
Africa,903,2023,18,30157.0415,2537
Africa,903,2023,19,29186.1435,2537
Africa,903,2023,20,28294.1845,2537
Africa,903,2023,21,27471.779,2537
Africa,903,2023,22,26679.604,2537
Africa,903,2023,23,25869.9515,2537
Africa,903,2023,24,25040.953,2537
Africa,903,2023,25,24298.8065,2537
Africa,903,2023,26,23675.965,2537
Africa,903,2023,27,23077.447,2537
Africa,903,2023,28,22432.2205,2537
Africa,903,2023,29,21819.766,2537
Africa,903,2023,30,21266.4295,2537
Africa,903,2023,31,20699.1685,2537
Africa,903,2023,32,20153.495,2537
Africa,903,2023,33,19631.276,2537
Africa,903,2023,34,19098.3845,2537
Africa,903,2023,35,18561.9325,2537
Africa,903,2023,36,18053.086,2537
Africa,903,2023,37,17535.9905,2537
Africa,903,2023,38,16982.9275,2537
Africa,903,2023,39,16420.626,2537
Africa,903,2023,40,15853.5695,2537
Africa,903,2023,41,15298.958,2537
Africa,903,2023,42,14759.747,2537
Africa,903,2023,43,14215.0265,2537
Africa,903,2023,44,13636.966,2537
Africa,903,2023,45,13031.3735,2537
Africa,903,2023,46,12458.235,2537
Africa,903,2023,47,11927.7185,2537
Africa,903,2023,48,11415.988,2537
Africa,903,2023,49,10925.457,2537
Africa,903,2023,50,10483.672,2537
Africa,903,2023,51,10069.8795,2537
Africa,903,2023,52,9659.8075,2537
Africa,903,2023,53,9265.0965,2537
Africa,903,2023,54,8868.7795,2537
Africa,903,2023,55,8470.3795,2537
Africa,903,2023,56,8093.4465,2537
Africa,903,2023,57,7740.5605,2537
Africa,903,2023,58,7415.9385,2537
Africa,903,2023,59,7094.7165,2537
Africa,903,2023,60,6761.9915,2537
Africa,903,2023,61,6428.56,2537
Africa,903,2023,62,6092.5375,2537
Africa,903,2023,63,5766.5895,2537
Africa,903,2023,64,5443.9375,2537
Africa,903,2023,65,5117.901,2537
Africa,903,2023,66,4802.7355,2537
Africa,903,2023,67,4493.701,2537
Africa,903,2023,68,4190.3885,2537
Africa,903,2023,69,3888.657,2537
Africa,903,2023,70,3585.1185,2537
Africa,903,2023,71,3287.0665,2537
Africa,903,2023,72,2989.4135,2537
Africa,903,2023,73,2702.643,2537
Africa,903,2023,74,2433.937,2537
Africa,903,2023,75,2195.9435,2537
Africa,903,2023,76,1970.7615,2537
Africa,903,2023,77,1742.228,2537
Africa,903,2023,78,1529.7845,2537
Africa,903,2023,79,1338.395,2537
Africa,903,2023,80,1169.2565,2537
Africa,903,2023,81,1012.9475,2537
Africa,903,2023,82,868.136,2537
Africa,903,2023,83,738.5485,2537
Africa,903,2023,84,623.0435,2537
Africa,903,2023,85,519.026,2537
Africa,903,2023,86,423.662,2537
Africa,903,2023,87,339.4775,2537
Africa,903,2023,88,269.6845,2537
Africa,903,2023,89,212.644,2537
Africa,903,2023,90,164.902,2537
Africa,903,2023,91,125.036,2537
Africa,903,2023,92,92.9285,2537
Africa,903,2023,93,67.7965,2537
Africa,903,2023,94,48.5545,2537
Africa,903,2023,95,34.193,2537
Africa,903,2023,96,23.6115,2537
Africa,903,2023,97,16.076,2537
Africa,903,2023,98,10.9055,2537
Africa,903,2023,99,7.412,2537
Africa,903,2023,100+,13.84,2537
Asia,935,2023,0,64673.1775,7273
Asia,935,2023,1,65213.0275,7273
