parameter,region,before,proposed,multiplier,change_percent,reason
demo_asia_age_neg40000_neg36000,asia,0.11448,0.11448,1,0,unchanged
demo_asia_age_neg36000_neg32000,asia,0.074370660332,0.075114366935,1.0099999999956972279313982197653724067783768619181,0.9999999995697227931398219765372406778376861918100,proportional redistribution
demo_asia_age_neg32000_neg28000,asia,0.085931979163,0.086791298955,1.0100000000043057311562458700215890895109139568370,1.0000000004305731156245870021589089510913956837000,proportional redistribution
demo_asia_age_neg28000_neg24000,asia,0.089102624883,0.089993651130,1.0099999999794618845134701754081432564164384719387,0.9999999979461884513470175408143256416438471938700,proportional redistribution
demo_asia_age_neg24000_neg20000,asia,0.080911186756,0.081720298624,1.0100000000054380613811398784323622682422937813422,1.0000000005438061381139878432362268242293781342200,proportional redistribution
demo_asia_age_neg20000_neg16000,asia,0.07259051055,0.073316415656,1.0100000000068879526567815274857575719310049679765,1.0000000006887952656781527485757571931004967976500,proportional redistribution
demo_asia_age_neg16000_neg12000,asia,0.068980481563,0.069670286379,1.0100000000053638361405476464113330127463088264610,1.0000000005363836140547646411333012746308826461000,proportional redistribution
demo_asia_age_neg12000_neg8000,asia,0.056951752861,0.057521270390,1.0100000000068479016080832195546916267547047431341,1.0000000006847901608083219554691626754704743134100,proportional redistribution
demo_asia_age_neg8000_neg4000,asia,0.043560803892,0.043996411931,1.0100000000018365133985668273488528208449987436242,1.0000000001836513398566827348852820844998743624200,proportional redistribution
demo_asia_age_neg4000_0,asia,0.02862,0.0228960,0.80,-20.00,older-cohort reduction
demo_asia_age_0_4000,asia,0.02332,0.02332,1,0,unchanged
demo_asia_age_4000_8000,asia,0.02014,0.02014,1,0,unchanged
demo_asia_age_8000_12000,asia,0.01696,0.01696,1,0,unchanged
demo_asia_age_12000_16000,asia,0.01378,0.01378,1,0,unchanged
demo_asia_age_16000_20000,asia,0.00954,0.00954,1,0,unchanged
demo_asia_age_20000_24000,asia,0.00636,0.00636,1,0,unchanged
demo_asia_age_24000_28000,asia,0.00318,0.00318,1,0,unchanged
demo_asia_age_28000_32000,asia,0.00106,0.00106,1,0,unchanged
demo_africa_age_neg40000_neg36000,africa,0.03465,0.03465,1,0,unchanged
demo_africa_age_neg36000_neg32000,africa,0.045435858454,0.046096263371,1.0145348836683388440595567667493200611686191164134,1.4534883668338844059556766749320061168619116413400,proportional redistribution
demo_africa_age_neg32000_neg28000,africa,0.039604893297,0.040180545816,1.0145348837246736036825535598917434952330809709743,1.4534883724673603682553559891743495233080970974300,proportional redistribution
demo_africa_age_neg28000_neg24000,africa,0.027194119065,0.027589382424,1.0145348837392096635655441482858713077418821693315,1.4534883739209663565544148285871307741882169331500,proportional redistribution
demo_africa_age_neg24000_neg20000,africa,0.02341795761,0.023758334901,1.0145348837276334962158982232439014138261564647183,1.4534883727633496215898223243901413826156464718300,proportional redistribution
demo_africa_age_neg20000_neg16000,africa,0.018376562187,0.018643663382,1.0145348837438676908061878940817582639620623617788,1.4534883743867690806187894081758263962062361778800,proportional redistribution
demo_africa_age_neg16000_neg12000,africa,0.009518262017,0.009656608849,1.0145348837584957186622487154421439373578446427422,1.4534883758495718662248715442143937357844642742200,proportional redistribution
demo_africa_age_neg12000_neg8000,africa,0.00814781789,0.008266245476,1.0145348837687387242279171755028020146385475976808,1.4534883768738724227917175502802014638547597680800,proportional redistribution
demo_africa_age_neg8000_neg4000,africa,0.00890452948,0.009033955781,1.0145348837679405380552460139645694114766409869868,1.4534883767940538055246013964569411476640986986800,proportional redistribution
demo_africa_age_neg4000_0,africa,0.0105,0.007875,0.75,-25.00,older-cohort reduction
demo_africa_age_0_4000,africa,0.00945,0.00945,1,0,unchanged
demo_africa_age_4000_8000,africa,0.00735,0.00735,1,0,unchanged
demo_africa_age_8000_12000,africa,0.00525,0.00525,1,0,unchanged
demo_africa_age_12000_16000,africa,0.0042,0.0042,1,0,unchanged
demo_africa_age_16000_20000,africa,0.0021,0.0021,1,0,unchanged
demo_africa_age_20000_24000,africa,0.00105,0.00105,1,0,unchanged
demo_africa_age_24000_28000,africa,0.00105,0.00105,1,0,unchanged
demo_africa_age_28000_32000,africa,0.00105,0.00105,1,0,unchanged
demo_europe_age_neg40000_neg36000,europe,0.0148,0.0148,1,0,unchanged
demo_europe_age_neg36000_neg32000,europe,0.007395893802,0.007456960815,1.0082568807279907451542933877297444731481286350683,0.8256880727990745154293387729744473148128635068300,proportional redistribution
demo_europe_age_neg32000_neg28000,europe,0.008863380141,0.008936564014,1.0082568807651008771056613084513758304795696339749,0.8256880765100877105661308451375830479569633974900,proportional redistribution
demo_europe_age_neg28000_neg24000,europe,0.010467835703,0.010554267374,1.0082568807394664551127412741739704777252176939331,0.8256880739466455112741274173970477725217693933100,proportional redistribution
demo_europe_age_neg24000_neg20000,europe,0.010250036664,0.010334669994,1.0082568807092415294018113182429100431167004067606,0.8256880709241529401811318242910043116700406760600,proportional redistribution
