region,age_group,age_share,age_population,regional_total_population,year,sex,un_location_code,source_region,source_revision,source_sheet,source_row,source_url
north_america,0_5,0.064858075715815,24834335.0000,382902741.5000,2023,both,905,Northern America,WPP2024,Estimates,19558,https://population.un.org/wpp/assets/Excel%20Files/1_Indicator%20(Standard)/EXCEL_FILES/2_Population/WPP2024_POP_F01_1_POPULATION_SINGLE_AGE_BOTH_SEXES.xlsx
north_america,6_14,0.108735797599402,41635235.0000,382902741.5000,2023,both,905,Northern America,WPP2024,Estimates,19558,https://population.un.org/wpp/assets/Excel%20Files/1_Indicator%20(Standard)/EXCEL_FILES/2_Population/WPP2024_POP_F01_1_POPULATION_SINGLE_AGE_BOTH_SEXES.xlsx
north_america,15_49,0.463191708435444,177357375.0000,382902741.5000,2023,both,905,Northern America,WPP2024,Estimates,19558,https://population.un.org/wpp/assets/Excel%20Files/1_Indicator%20(Standard)/EXCEL_FILES/2_Population/WPP2024_POP_F01_1_POPULATION_SINGLE_AGE_BOTH_SEXES.xlsx
north_america,50_79,0.323196542064978,123752842.0000,382902741.5000,2023,both,905,Northern America,WPP2024,Estimates,19558,https://population.un.org/wpp/assets/Excel%20Files/1_Indicator%20(Standard)/EXCEL_FILES/2_Population/WPP2024_POP_F01_1_POPULATION_SINGLE_AGE_BOTH_SEXES.xlsx
north_america,80plus,0.040017876184363,15322954.5000,382902741.5000,2023,both,905,Northern America,WPP2024,Estimates,19558,https://population.un.org/wpp/assets/Excel%20Files/1_Indicator%20(Standard)/EXCEL_FILES/2_Population/WPP2024_POP_F01_1_POPULATION_SINGLE_AGE_BOTH_SEXES.xlsx
south_america,0_5,0.081654221730230,35358252.0000,433024175.0000,2023,both,931,South America,WPP2024,Estimates,18448,https://population.un.org/wpp/assets/Excel%20Files/1_Indicator%20(Standard)/EXCEL_FILES/2_Population/WPP2024_POP_F01_1_POPULATION_SINGLE_AGE_BOTH_SEXES.xlsx
south_america,6_14,0.133873777370513,57970582.0000,433024175.0000,2023,both,931,South America,WPP2024,Estimates,18448,https://population.un.org/wpp/assets/Excel%20Files/1_Indicator%20(Standard)/EXCEL_FILES/2_Population/WPP2024_POP_F01_1_POPULATION_SINGLE_AGE_BOTH_SEXES.xlsx
south_america,15_49,0.524832966889204,227265362.5000,433024175.0000,2023,both,931,South America,WPP2024,Estimates,18448,https://population.un.org/wpp/assets/Excel%20Files/1_Indicator%20(Standard)/EXCEL_FILES/2_Population/WPP2024_POP_F01_1_POPULATION_SINGLE_AGE_BOTH_SEXES.xlsx
south_america,50_79,0.240187973338902,104007199.0000,433024175.0000,2023,both,931,South America,WPP2024,Estimates,18448,https://population.un.org/wpp/assets/Excel%20Files/1_Indicator%20(Standard)/EXCEL_FILES/2_Population/WPP2024_POP_F01_1_POPULATION_SINGLE_AGE_BOTH_SEXES.xlsx
south_america,80plus,0.019451060671151,8422779.5000,433024175.0000,2023,both,931,South America,WPP2024,Estimates,18448,https://population.un.org/wpp/assets/Excel%20Files/1_Indicator%20(Standard)/EXCEL_FILES/2_Population/WPP2024_POP_F01_1_POPULATION_SINGLE_AGE_BOTH_SEXES.xlsx
europe,0_5,0.056335167736803,42003663.0000,745602874.5000,2023,both,908,Europe,WPP2024,Estimates,11491,https://population.un.org/wpp/assets/Excel%20Files/1_Indicator%20(Standard)/EXCEL_FILES/2_Population/WPP2024_POP_F01_1_POPULATION_SINGLE_AGE_BOTH_SEXES.xlsx
europe,6_14,0.098739438269159,73620409.0000,745602874.5000,2023,both,908,Europe,WPP2024,Estimates,11491,https://population.un.org/wpp/assets/Excel%20Files/1_Indicator%20(Standard)/EXCEL_FILES/2_Population/WPP2024_POP_F01_1_POPULATION_SINGLE_AGE_BOTH_SEXES.xlsx
europe,15_49,0.439073155021749,327374206.5000,745602874.5000,2023,both,908,Europe,WPP2024,Estimates,11491,https://population.un.org/wpp/assets/Excel%20Files/1_Indicator%20(Standard)/EXCEL_FILES/2_Population/WPP2024_POP_F01_1_POPULATION_SINGLE_AGE_BOTH_SEXES.xlsx
europe,50_79,0.351802167710125,262304707.5000,745602874.5000,2023,both,908,Europe,WPP2024,Estimates,11491,https://population.un.org/wpp/assets/Excel%20Files/1_Indicator%20(Standard)/EXCEL_FILES/2_Population/WPP2024_POP_F01_1_POPULATION_SINGLE_AGE_BOTH_SEXES.xlsx
europe,80plus,0.054050071262165,40299888.5000,745602874.5000,2023,both,908,Europe,WPP2024,Estimates,11491,https://population.un.org/wpp/assets/Excel%20Files/1_Indicator%20(Standard)/EXCEL_FILES/2_Population/WPP2024_POP_F01_1_POPULATION_SINGLE_AGE_BOTH_SEXES.xlsx
asia,0_5,0.085850395964430,410193577.0000,4778004485.5000,2023,both,935,Asia,WPP2024,Estimates,7273,https://population.un.org/wpp/assets/Excel%20Files/1_Indicator%20(Standard)/EXCEL_FILES/2_Population/WPP2024_POP_F01_1_POPULATION_SINGLE_AGE_BOTH_SEXES.xlsx
asia,6_14,0.143858328217553,687355737.5000,4778004485.5000,2023,both,935,Asia,WPP2024,Estimates,7273,https://population.un.org/wpp/assets/Excel%20Files/1_Indicator%20(Standard)/EXCEL_FILES/2_Population/WPP2024_POP_F01_1_POPULATION_SINGLE_AGE_BOTH_SEXES.xlsx
asia,15_49,0.512140626264801,2447010209.5000,4778004485.5000,2023,both,935,Asia,WPP2024,Estimates,7273,https://population.un.org/wpp/assets/Excel%20Files/1_Indicator%20(Standard)/EXCEL_FILES/2_Population/WPP2024_POP_F01_1_POPULATION_SINGLE_AGE_BOTH_SEXES.xlsx
asia,50_79,0.240502042324841,1149119837.0000,4778004485.5000,2023,both,935,Asia,WPP2024,Estimates,7273,https://population.un.org/wpp/assets/Excel%20Files/1_Indicator%20(Standard)/EXCEL_FILES/2_Population/WPP2024_POP_F01_1_POPULATION_SINGLE_AGE_BOTH_SEXES.xlsx
asia,80plus,0.017648607228374,84325124.5000,4778004485.5000,2023,both,935,Asia,WPP2024,Estimates,7273,https://population.un.org/wpp/assets/Excel%20Files/1_Indicator%20(Standard)/EXCEL_FILES/2_Population/WPP2024_POP_F01_1_POPULATION_SINGLE_AGE_BOTH_SEXES.xlsx
africa,0_5,0.169940409233902,251642749.000,1480770525.0000,2023,both,903,Africa,WPP2024,Estimates,2537,https://population.un.org/wpp/assets/Excel%20Files/1_Indicator%20(Standard)/EXCEL_FILES/2_Population/WPP2024_POP_F01_1_POPULATION_SINGLE_AGE_BOTH_SEXES.xlsx
africa,6_14,0.224398220649347,332282271.0000,1480770525.0000,2023,both,903,Africa,WPP2024,Estimates,2537,https://population.un.org/wpp/assets/Excel%20Files/1_Indicator%20(Standard)/EXCEL_FILES/2_Population/WPP2024_POP_F01_1_POPULATION_SINGLE_AGE_BOTH_SEXES.xlsx
africa,15_49,0.490379329369755,726139257.0000,1480770525.0000,2023,both,903,Africa,WPP2024,Estimates,2537,https://population.un.org/wpp/assets/Excel%20Files/1_Indicator%20(Standard)/EXCEL_FILES/2_Population/WPP2024_POP_F01_1_POPULATION_SINGLE_AGE_BOTH_SEXES.xlsx
africa,50_79,0.110702207892746,163924566.5000,1480770525.0000,2023,both,903,Africa,WPP2024,Estimates,2537,https://population.un.org/wpp/assets/Excel%20Files/1_Indicator%20(Standard)/EXCEL_FILES/2_Population/WPP2024_POP_F01_1_POPULATION_SINGLE_AGE_BOTH_SEXES.xlsx
africa,80plus,0.004579832854250,6781681.5000,1480770525.0000,2023,both,903,Africa,WPP2024,Estimates,2537,https://population.un.org/wpp/assets/Excel%20Files/1_Indicator%20(Standard)/EXCEL_FILES/2_Population/WPP2024_POP_F01_1_POPULATION_SINGLE_AGE_BOTH_SEXES.xlsx
oceania,0_5,0.090063630216475,4103550.0000,45562787.0000,2023,both,909,Oceania,WPP2024,Estimates,20002,https://population.un.org/wpp/assets/Excel%20Files/1_Indicator%20(Standard)/EXCEL_FILES/2_Population/WPP2024_POP_F01_1_POPULATION_SINGLE_AGE_BOTH_SEXES.xlsx
oceania,6_14,0.136594750009476,6223637.5000,45562787.0000,2023,both,909,Oceania,WPP2024,Estimates,20002,https://population.un.org/wpp/assets/Excel%20Files/1_Indicator%20(Standard)/EXCEL_FILES/2_Population/WPP2024_POP_F01_1_POPULATION_SINGLE_AGE_BOTH_SEXES.xlsx
oceania,15_49,0.483213603680565,22016558.5000,45562787.0000,2023,both,909,Oceania,WPP2024,Estimates,20002,https://population.un.org/wpp/assets/Excel%20Files/1_Indicator%20(Standard)/EXCEL_FILES/2_Population/WPP2024_POP_F01_1_POPULATION_SINGLE_AGE_BOTH_SEXES.xlsx
oceania,50_79,0.258616060953427,11783268.5000,45562787.0000,2023,both,909,Oceania,WPP2024,Estimates,20002,https://population.un.org/wpp/assets/Excel%20Files/1_Indicator%20(Standard)/EXCEL_FILES/2_Population/WPP2024_POP_F01_1_POPULATION_SINGLE_AGE_BOTH_SEXES.xlsx
oceania,80plus,0.031511955140058,1435772.5000,45562787.0000,2023,both,909,Oceania,WPP2024,Estimates,20002,https://population.un.org/wpp/assets/Excel%20Files/1_Indicator%20(Standard)/EXCEL_FILES/2_Population/WPP2024_POP_F01_1_POPULATION_SINGLE_AGE_BOTH_SEXES.xlsx
