parameter,region,initial_age_min_days,initial_age_max_days,configured_weight,baseline_effective_weight,fitted_weight,fitted_sampling_probability,fitted_to_configured_ratio,unobserved_in_calibration_window
demo_asia_age_neg40000_neg36000,asia,-40000,-36000,0.108,0.108,0.10355036943829263,0.07791600409201854,0.958799717021228,True
demo_asia_age_neg36000_neg32000,asia,-36000,-32000,0.099,0.099,0.06813718336101628,0.051269513439440396,0.6882543773840027,False
demo_asia_age_neg32000_neg28000,asia,-32000,-28000,0.09,0.09,0.07787041832622638,0.05859324178045628,0.8652268702914042,False
demo_asia_age_neg28000_neg24000,asia,-28000,-24000,0.081,0.081,0.0805574897279929,0.0606151164243739,0.9945369102221345,False
demo_asia_age_neg24000_neg20000,asia,-24000,-20000,0.072,0.072,0.07294422374448627,0.054886549092916695,1.0131142186734206,False
demo_asia_age_neg20000_neg16000,asia,-20000,-16000,0.063,0.063,0.06447766515707867,0.04851592562609382,1.0234550024933122,False
demo_asia_age_neg16000_neg12000,asia,-16000,-12000,0.054,0.054,0.057943341933196744,0.04359920386245053,1.0730248506147546,False
demo_asia_age_neg12000_neg8000,asia,-12000,-8000,0.045,0.045,0.048156256373274205,0.03623495588658707,1.0701390305172045,False
demo_asia_age_neg8000_neg4000,asia,-8000,-4000,0.036,0.036,0.03876595171215979,0.029169263891768094,1.0768319920044387,False
demo_asia_age_neg4000_0,asia,-4000,0,0.027,0.0,0.029507292054328994,0.022202627580382994,1.0928626686788516,False
demo_asia_age_0_4000,asia,0,4000,0.022,0.022,0.023655563370733313,0.01779952097120641,1.075252880487878,False
demo_asia_age_4000_8000,asia,4000,8000,0.019,0.019,0.020122883045059034,0.015141371741955633,1.059099107634686,False
demo_asia_age_8000_12000,asia,8000,12000,0.016,0.016,0.016689720284315496,0.012558104051403686,1.0431075177697184,False
demo_asia_age_12000_16000,asia,12000,16000,0.013,0.013,0.013346235751109523,0.010042314334920636,1.0266335193161171,False
demo_asia_age_16000_20000,asia,16000,20000,0.009,0.009,0.009063922175945259,0.006820106979642784,1.0071024639939177,False
demo_asia_age_20000_24000,asia,20000,24000,0.006,0.006,0.00594490962665697,0.004473220185595915,0.990818271109495,False
demo_asia_age_24000_28000,asia,24000,28000,0.003,0.003,0.0029278963470173655,0.0022030822776654374,0.9759654490057885,False
demo_asia_age_28000_32000,asia,28000,32000,0.001,0.001,0.0009664543172842114,0.0007272041514553888,0.9664543172842114,False
demo_africa_age_neg40000_neg36000,africa,-40000,-36000,0.033,0.033,0.03633559233572962,0.027340551042685946,1.1010785556281701,True
demo_africa_age_neg36000_neg32000,africa,-36000,-32000,0.03,0.03,0.04595183652050242,0.03457625020353832,1.5317278840167474,False
demo_africa_age_neg32000_neg28000,africa,-32000,-28000,0.028,0.028,0.04065468578748213,0.030590433248669783,1.4519530638386475,False
demo_africa_age_neg28000_neg24000,africa,-28000,-24000,0.025,0.025,0.02714727389845312,0.020426842662492947,1.0858909559381247,False
demo_africa_age_neg24000_neg20000,africa,-24000,-20000,0.023,0.023,0.023414618484955383,0.017618223088754995,1.018026890650234,False
demo_africa_age_neg20000_neg16000,africa,-20000,-16000,0.02,0.02,0.01896377418740105,0.014269205558616292,0.9481887093700524,False
demo_africa_age_neg16000_neg12000,africa,-16000,-12000,0.018,0.018,0.011933725543570053,0.008979477459420659,0.6629847524205585,False
demo_africa_age_neg12000_neg8000,africa,-12000,-8000,0.015,0.015,0.009714924914472619,0.007309951026691212,0.6476616609648412,False
