Bacteria,sulfanilamide,penicilling,ampicillin,amoxicillin,piperacillin,ticarcillin,cephalexin,cefazolin,cefuroxime,ceftriaxone,ceftazidime,cefepime,ceftaroline,meropenem,imipenem_c,ertapenem,aztreonam,erythromycin,azithromycin,clarithromycin,clindamycin,gentamicin,tobramycin,amikacin,ciprofloxacin,levofloxacin,moxifloxacin,ofloxacin,tetracycline,doxyclycline,minocycline,vancomycin,teicoplanin,dalbavancin,linezolid,tedizolid,quinu_dalfo,trim_sulf,chlorampheni,nitrofurantoin,retapamulin,fusidic_a,metronidazole,furazolidone,rifampicin,amoxicillin_clavulanate,piperacillin_tazobactam,ampicillin_sulbactam,ticarcillin_clavulanate,ceftazidime_avibactam,meropenem_vaborbactam,colistin
Acinetobacter baumannii,0.1,0.05,0.05,0.05,0.6,0.5,0.05,0.05,0.1,0.1,0.6,0.7,0.1,0.85,0.8,0.1,0.1,0.05,0.05,0.05,0.05,0.75,0.7,0.8,0.7,0.7,0.6,0.6,0.6,0.7,0.8,0.05,0.05,0.05,0.05,0.05,0.05,0.6,0.7,0.1,0.05,0.05,0.05,0.1,0.6,0.05,0.7,0.7,0.6,0.7,0.8,0.9
Citrobacter spp.,0.5,0.1,0.7,0.7,0.8,0.75,0.7,0.75,0.8,0.85,0.8,0.9,0.6,0.95,0.95,0.9,0.85,0.1,0.1,0.1,0.1,0.85,0.8,0.9,0.9,0.85,0.7,0.8,0.8,0.85,0.85,0.1,0.1,0.1,0.1,0.1,0.1,0.9,0.85,0.8,0.05,0.05,0.05,0.1,0.7,0.9,0.9,0.85,0.8,0.9,0.95,0.7
Enterobacter spp.,0.5,0.1,0.5,0.5,0.75,0.7,0.5,0.5,0.6,0.5,0.8,0.85,0.4,0.95,0.95,0.9,0.8,0.1,0.1,0.1,0.1,0.85,0.8,0.9,0.9,0.85,0.7,0.8,0.8,0.85,0.85,0.1,0.1,0.1,0.1,0.1,0.1,0.85,0.8,0.7,0.05,0.05,0.05,0.1,0.6,0.7,0.85,0.7,0.8,0.9,0.95,0.7
Enterococcus faecalis,0.1,0.8,0.9,0.9,0.75,0.7,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.7,0.7,0.1,0.1,0.7,0.7,0.7,0.7,0.1,0.1,0.1,0.7,0.7,0.7,0.7,0.8,0.8,0.85,0.95,0.9,0.9,0.9,0.9,0.1,0.7,0.8,0.9,0.1,0.1,0.1,0.1,0.1,0.9,0.75,0.9,0.7,0.1,0.75,0.05
Enterococcus faecium,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.7,0.7,0.7,0.7,0.1,0.1,0.1,0.7,0.7,0.7,0.7,0.8,0.8,0.85,0.9,0.85,0.85,0.9,0.9,0.7,0.6,0.7,0.7,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.05
Escherichia coli,0.5,0.1,0.8,0.8,0.85,0.8,0.7,0.75,0.8,0.95,0.9,0.9,0.7,0.95,0.95,0.95,0.9,0.1,0.1,0.1,0.1,0.9,0.85,0.9,0.95,0.9,0.8,0.9,0.8,0.8,0.85,0.1,0.1,0.1,0.1,0.1,0.1,0.9,0.85,0.9,0.05,0.05,0.05,0.1,0.7,0.9,0.95,0.9,0.9,0.95,0.95,0.7
Klebsiella pneumoniae,0.5,0.1,0.4,0.4,0.8,0.75,0.5,0.5,0.7,0.9,0.85,0.9,0.5,0.95,0.95,0.95,0.85,0.1,0.1,0.1,0.1,0.9,0.85,0.9,0.9,0.85,0.7,0.8,0.8,0.8,0.85,0.1,0.1,0.1,0.1,0.1,0.1,0.9,0.85,0.8,0.05,0.05,0.05,0.1,0.6,0.85,0.9,0.75,0.75,0.95,0.95,0.7
Morganella spp.,0.5,0.1,0.5,0.5,0.75,0.7,0.5,0.5,0.6,0.8,0.8,0.85,0.4,0.95,0.95,0.9,0.8,0.1,0.1,0.1,0.1,0.85,0.8,0.9,0.9,0.85,0.7,0.8,0.8,0.85,0.85,0.1,0.1,0.1,0.1,0.1,0.1,0.8,0.85,0.7,0.05,0.05,0.05,0.1,0.6,0.7,0.85,0.7,0.8,0.9,0.95,0.7
Proteus spp.,0.5,0.1,0.8,0.8,0.85,0.8,0.7,0.75,0.8,0.95,0.9,0.9,0.7,0.95,0.95,0.95,0.9,0.1,0.1,0.1,0.1,0.8,0.75,0.85,0.9,0.85,0.7,0.8,0.8,0.8,0.85,0.1,0.1,0.1,0.1,0.1,0.1,0.9,0.85,0.8,0.05,0.05,0.05,0.1,0.7,0.9,0.95,0.9,0.9,0.95,0.95,0.7
Serratia spp.,0.5,0.1,0.1,0.1,0.75,0.7,0.1,0.1,0.6,0.8,0.85,0.85,0.5,0.95,0.95,0.9,0.85,0.1,0.1,0.1,0.1,0.85,0.8,0.9,0.85,0.8,0.7,0.75,0.8,0.8,0.85,0.1,0.1,0.1,0.1,0.1,0.1,0.85,0.8,0.7,0.05,0.05,0.05,0.1,0.6,0.7,0.85,0.7,0.75,0.9,0.95,0.7
Pseudomonas aeruginosa,0.1,0.05,0.05,0.05,0.8,0.7,0.05,0.05,0.1,0.1,0.85,0.9,0.1,0.9,0.85,0.1,0.8,0.05,0.05,0.05,0.05,0.85,0.9,0.9,0.9,0.8,0.5,0.7,0.1,0.1,0.1,0.05,0.05,0.05,0.05,0.05,0.05,0.1,0.1,0.05,0.05,0.05,0.05,0.05,0.1,0.05,0.9,0.05,0.8,0.95,0.9,0.85
Staphylococcus aureus,0.1,0.1,0.1,0.1,0.7,0.6,0.8,0.85,0.7,0.7,0.1,0.6,0.95,0.7,0.7,0.7,0.1,0.8,0.8,0.8,0.8,0.7,0.7,0.7,0.7,0.7,0.8,0.7,0.8,0.85,0.85,0.95,0.9,0.9,0.9,0.9,0.85,0.7,0.8,0.1,0.9,0.85,0.1,0.1,0.8,0.85,0.7,0.8,0.6,0.1,0.7,0.05
Streptococcus pneumoniae,0.1,0.95,0.95,0.95,0.9,0.9,0.85,0.9,0.9,0.95,0.7,0.8,0.95,0.95,0.95,0.95,0.9,0.8,0.85,0.85,0.8,0.1,0.1,0.1,0.9,0.95,0.95,0.9,0.8,0.85,0.85,0.95,0.9,0.9,0.9,0.9,0.85,0.7,0.8,0.1,0.1,0.1,0.1,0.1,0.8,0.95,0.9,0.95,0.9,0.95,0.95,0.05
Salmonella enterica serovar typhi,0.7,0.1,0.8,0.8,0.85,0.8,0.7,0.75,0.8,0.95,0.9,0.9,0.7,0.95,0.95,0.95,0.9,0.1,0.1,0.1,0.1,0.85,0.8,0.9,0.9,0.85,0.7,0.8,0.8,0.85,0.85,0.1,0.1,0.1,0.1,0.1,0.1,0.9,0.85,0.1,0.05,0.05,0.05,0.1,0.7,0.9,0.95,0.9,0.9,0.95,0.95,0.7
