timestamp,population_size,time_steps,duration_seconds
2025-07-16 15:33:29 UTC,3000,7500,238.767
2025-07-16 15:36:45 UTC,3000,365,8.298
2025-07-16 15:44:14 UTC,3000,3650,156.487
2025-07-16 16:10:44 UTC,3000,3650,106.737
2025-07-16 16:29:01 UTC,3000,3650,238.383
2025-07-16 16:39:28 UTC,3000,365,7.954
2025-07-16 16:42:12 UTC,3000,3650,105.501
2025-07-16 16:46:57 UTC,30000,365,88.142
2025-07-16 16:53:46 UTC,100000,365,334.243
2025-07-16 17:01:48 UTC,10000,365,70.199
2025-07-16 17:07:01 UTC,300000,30,85.450
2025-07-16 17:19:33 UTC,1000000,60,641.458
2025-07-16 17:27:50 UTC,300000,60,186.291
2025-07-16 17:30:50 UTC,100000,60,66.176
2025-07-16 17:32:49 UTC,100000,60,60.171
2025-07-16 17:37:28 UTC,100000,60,132.942
2025-07-17 07:40:41 UTC,10000,10000,1980.378
2025-07-17 09:26:04 UTC,10000,100,7.058
2025-07-17 09:36:49 UTC,1000,30100,460.034
2025-07-17 12:12:46 UTC,500000,60,264.736
2025-07-17 12:51:21 UTC,1000,30000,1035.295
2025-07-17 13:09:16 UTC,100000,90,72.910
2025-07-17 13:58:27 UTC,100000,365,550.221
2025-07-17 14:05:13 UTC,10000,2000,174.741
2025-07-17 14:44:04 UTC,10000,200,149.832
2025-07-17 15:08:34 UTC,10000,1500,153.704
2025-07-17 15:46:56 UTC,10000,150,10.731
2025-07-17 15:58:49 UTC,10000,150,79.784
2025-07-17 16:05:03 UTC,10000,150,11.023
2025-07-17 16:05:52 UTC,10000,150,10.686
2025-07-17 16:21:21 UTC,10000,150,11.179
2025-07-17 16:38:08 UTC,10000,150,10.300
2025-07-17 17:01:00 UTC,10000,150,10.616
2025-07-17 17:01:20 UTC,10000,150,11.275
2025-07-17 17:02:55 UTC,10000,150,11.475
2025-07-17 17:03:00 UTC,10000,2,0.168
2025-07-17 17:04:16 UTC,10000,2,0.142
2025-07-17 18:57:30 UTC,30000,32000,6534.927
2025-07-18 07:34:36 UTC,10000,36,2.295
2025-07-18 07:39:44 UTC,10000,3650,295.071
2025-07-18 08:36:55 UTC,3000,3650,78.501
2025-07-18 10:21:57 UTC,1000,3650,23.255
2025-07-18 10:30:28 UTC,1000,3650,23.450
2025-07-18 10:56:05 UTC,1000,3650,22.963
2025-07-18 11:05:57 UTC,30000,730,394.039
2025-07-18 11:16:48 UTC,10000,1000,217.572
2025-07-18 11:23:31 UTC,10000,1000,101.263
2025-07-18 11:30:56 UTC,10000,3000,361.390
2025-07-18 11:44:05 UTC,10000,3000,269.309
2025-07-18 12:07:59 UTC,10000,6000,630.788
2025-07-18 12:29:57 UTC,10000,6,0.373
2025-07-18 12:42:45 UTC,10000,6,0.378
2025-07-18 13:10:39 UTC,10000,10000,1547.622
2025-07-18 14:08:47 UTC,3000,32000,1420.422
2025-07-18 14:42:47 UTC,3000,320,6.299
2025-07-18 14:46:06 UTC,3000,320,6.180
2025-07-18 14:50:21 UTC,3000,3650,169.639
2025-07-18 16:01:03 UTC,100000,3650,4146.564
2025-07-18 20:06:32 UTC,30000,32000,11385.567
2025-07-19 10:39:59 UTC,3000,3650,125.891
2025-07-19 10:59:35 UTC,3000,3650,110.832
2025-07-19 11:20:11 UTC,3000,16000,567.599
2025-07-19 11:48:30 UTC,3000,16000,807.712
2025-07-19 12:08:50 UTC,3000,16000,880.754
2025-07-19 12:34:04 UTC,3000,16000,543.408
2025-07-19 15:39:10 UTC,3000,16000,10728.969
2025-07-19 17:33:44 UTC,3000,1600,64.156
2025-07-19 17:39:24 UTC,3000,1830,40.946
2025-07-19 17:44:23 UTC,3000,8000,205.404
2025-07-19 18:02:11 UTC,10000,8000,920.538
2025-07-19 19:36:50 UTC,30000,16000,5283.011
2025-07-20 07:19:43 UTC,3000,8000,220.031
2025-07-20 07:29:13 UTC,3000,8000,347.730
2025-07-20 07:51:39 UTC,3000,8000,210.611
2025-07-20 07:58:42 UTC,3000,8000,217.164
2025-07-20 08:42:34 UTC,30000,8000,2558.564
2025-07-20 12:59:50 UTC,3000,8000,155.400
2025-07-20 13:06:32 UTC,3000,8000,58.087
2025-07-20 13:20:32 UTC,3000,8000,259.501
2025-07-20 13:29:45 UTC,1000,32000,371.939
2025-07-20 13:51:25 UTC,10000,8000,926.128
2025-07-20 14:05:51 UTC,10000,8000,603.477
2025-07-20 14:59:03 UTC,10000,32000,2835.625
2025-07-20 15:09:07 UTC,10000,300,19.572
2025-07-20 15:10:46 UTC,10000,1000,51.600
2025-07-20 15:26:19 UTC,10000,3650,431.314
2025-07-20 15:45:51 UTC,10000,3650,558.150
2025-07-20 16:26:25 UTC,10000,3650,599.132
2025-07-20 22:25:27 UTC,50000,32000,21318.963
2025-07-21 06:50:45 UTC,10000,3650,510.223
2025-07-21 07:01:01 UTC,3000,36,0.934
2025-07-21 07:11:21 UTC,3000,3650,282.686
2025-07-21 07:24:11 UTC,10000,3650,495.249
2025-07-21 08:04:26 UTC,10000,7300,1446.608
2025-07-21 08:25:13 UTC,3000,1000,28.580
2025-07-21 08:32:19 UTC,3000,1000,3.907
2025-07-21 08:34:21 UTC,3000,1000,29.925
2025-07-21 08:36:47 UTC,3000,1000,30.299
2025-07-21 12:22:11 UTC,30000,35000,13323.412
2025-07-21 14:54:40 UTC,3000,35,0.905
2025-07-21 15:24:22 UTC,3000,1830,57.669
2025-07-21 15:29:32 UTC,3000,1830,56.317
2025-07-21 15:34:56 UTC,3000,1830,104.985
2025-07-21 15:49:51 UTC,10000,1830,292.529
2025-07-21 17:20:28 UTC,10000,1830,298.704
2025-07-21 19:53:31 UTC,10000,35000,5154.414
2025-07-22 07:56:08 UTC,3000,365,10.249
2025-07-22 16:54:22 UTC,3000,5000,186.380
2025-07-22 17:05:14 UTC,3000,5000,216.801
2025-07-22 17:17:14 UTC,3000,5000,245.272
2025-07-22 17:26:45 UTC,3000,365,9.272
2025-07-22 17:34:04 UTC,3000,365,8.954
2025-07-22 17:40:05 UTC,3000,365,9.764
2025-07-22 17:46:39 UTC,3000,365,14.059
2025-07-23 06:40:38 UTC,3000,365,9.130
2025-07-23 07:53:01 UTC,3000,4000,211.257
2025-07-27 07:17:45 UTC,3000,400,11.631
2025-07-27 07:43:19 UTC,10000,365,36.001
2025-07-27 07:48:21 UTC,10000,365,58.253
2025-07-27 07:56:42 UTC,30000,365,126.421
