bacteria,setting,region,year,incidence_per_1000_days,p5,p95,source_quality,notes
escherichia_coli,icu,north_america,2019,2.4,1.44,3.6,cdc_nhsn_ecdc_hainet,hai_surveillance_2019
escherichia_coli,ward,north_america,2019,0.8,0.48,1.2,cdc_nhsn_ecdc_hainet,hai_surveillance_2019
escherichia_coli,icu,europe,2019,2.04,1.22,3.06,cdc_nhsn_ecdc_hainet,hai_surveillance_2019
escherichia_coli,ward,europe,2019,0.68,0.41,1.02,cdc_nhsn_ecdc_hainet,hai_surveillance_2019
escherichia_coli,icu,asia,2019,2.76,1.66,4.14,cdc_nhsn_ecdc_hainet,hai_surveillance_2019
escherichia_coli,ward,asia,2019,0.92,0.55,1.38,cdc_nhsn_ecdc_hainet,hai_surveillance_2019
escherichia_coli,icu,africa,2019,3.24,1.94,4.86,cdc_nhsn_ecdc_hainet,hai_surveillance_2019
escherichia_coli,ward,africa,2019,1.08,0.65,1.62,cdc_nhsn_ecdc_hainet,hai_surveillance_2019
escherichia_coli,icu,south_america,2019,2.88,1.73,4.32,cdc_nhsn_ecdc_hainet,hai_surveillance_2019
escherichia_coli,ward,south_america,2019,0.96,0.58,1.44,cdc_nhsn_ecdc_hainet,hai_surveillance_2019
escherichia_coli,icu,oceania,2019,2.16,1.3,3.24,cdc_nhsn_ecdc_hainet,hai_surveillance_2019
escherichia_coli,ward,oceania,2019,0.72,0.43,1.08,cdc_nhsn_ecdc_hainet,hai_surveillance_2019
escherichia_coli,icu,north_america,2020,2.47,1.48,3.71,cdc_nhsn_ecdc_hainet,hai_surveillance_2020
escherichia_coli,ward,north_america,2020,0.82,0.49,1.24,cdc_nhsn_ecdc_hainet,hai_surveillance_2020
escherichia_coli,icu,europe,2020,2.1,1.26,3.15,cdc_nhsn_ecdc_hainet,hai_surveillance_2020
escherichia_coli,ward,europe,2020,0.7,0.42,1.05,cdc_nhsn_ecdc_hainet,hai_surveillance_2020
escherichia_coli,icu,asia,2020,2.84,1.71,4.26,cdc_nhsn_ecdc_hainet,hai_surveillance_2020
escherichia_coli,ward,asia,2020,0.95,0.57,1.42,cdc_nhsn_ecdc_hainet,hai_surveillance_2020
escherichia_coli,icu,africa,2020,3.34,2.0,5.01,cdc_nhsn_ecdc_hainet,hai_surveillance_2020
escherichia_coli,ward,africa,2020,1.11,0.67,1.67,cdc_nhsn_ecdc_hainet,hai_surveillance_2020
escherichia_coli,icu,south_america,2020,2.97,1.78,4.45,cdc_nhsn_ecdc_hainet,hai_surveillance_2020
escherichia_coli,ward,south_america,2020,0.99,0.59,1.48,cdc_nhsn_ecdc_hainet,hai_surveillance_2020
escherichia_coli,icu,oceania,2020,2.22,1.33,3.34,cdc_nhsn_ecdc_hainet,hai_surveillance_2020
escherichia_coli,ward,oceania,2020,0.74,0.44,1.11,cdc_nhsn_ecdc_hainet,hai_surveillance_2020
escherichia_coli,icu,north_america,2021,2.54,1.53,3.82,cdc_nhsn_ecdc_hainet,hai_surveillance_2021
escherichia_coli,ward,north_america,2021,0.85,0.51,1.27,cdc_nhsn_ecdc_hainet,hai_surveillance_2021
escherichia_coli,icu,europe,2021,2.16,1.3,3.24,cdc_nhsn_ecdc_hainet,hai_surveillance_2021
escherichia_coli,ward,europe,2021,0.72,0.43,1.08,cdc_nhsn_ecdc_hainet,hai_surveillance_2021
escherichia_coli,icu,asia,2021,2.93,1.76,4.39,cdc_nhsn_ecdc_hainet,hai_surveillance_2021
escherichia_coli,ward,asia,2021,0.98,0.59,1.46,cdc_nhsn_ecdc_hainet,hai_surveillance_2021
escherichia_coli,icu,africa,2021,3.43,2.06,5.15,cdc_nhsn_ecdc_hainet,hai_surveillance_2021
escherichia_coli,ward,africa,2021,1.14,0.69,1.72,cdc_nhsn_ecdc_hainet,hai_surveillance_2021
escherichia_coli,icu,south_america,2021,3.05,1.83,4.58,cdc_nhsn_ecdc_hainet,hai_surveillance_2021
escherichia_coli,ward,south_america,2021,1.02,0.61,1.53,cdc_nhsn_ecdc_hainet,hai_surveillance_2021
escherichia_coli,icu,oceania,2021,2.29,1.37,3.43,cdc_nhsn_ecdc_hainet,hai_surveillance_2021
escherichia_coli,ward,oceania,2021,0.76,0.46,1.14,cdc_nhsn_ecdc_hainet,hai_surveillance_2021
escherichia_coli,icu,north_america,2022,2.62,1.57,3.92,cdc_nhsn_ecdc_hainet,hai_surveillance_2022
escherichia_coli,ward,north_america,2022,0.87,0.52,1.31,cdc_nhsn_ecdc_hainet,hai_surveillance_2022
escherichia_coli,icu,europe,2022,2.22,1.33,3.34,cdc_nhsn_ecdc_hainet,hai_surveillance_2022
escherichia_coli,ward,europe,2022,0.74,0.44,1.11,cdc_nhsn_ecdc_hainet,hai_surveillance_2022
escherichia_coli,icu,asia,2022,3.01,1.81,4.51,cdc_nhsn_ecdc_hainet,hai_surveillance_2022
escherichia_coli,ward,asia,2022,1.0,0.6,1.5,cdc_nhsn_ecdc_hainet,hai_surveillance_2022
escherichia_coli,icu,africa,2022,3.53,2.12,5.3,cdc_nhsn_ecdc_hainet,hai_surveillance_2022
escherichia_coli,ward,africa,2022,1.18,0.71,1.77,cdc_nhsn_ecdc_hainet,hai_surveillance_2022
escherichia_coli,icu,south_america,2022,3.14,1.88,4.71,cdc_nhsn_ecdc_hainet,hai_surveillance_2022
escherichia_coli,ward,south_america,2022,1.05,0.63,1.57,cdc_nhsn_ecdc_hainet,hai_surveillance_2022
escherichia_coli,icu,oceania,2022,2.35,1.41,3.53,cdc_nhsn_ecdc_hainet,hai_surveillance_2022
escherichia_coli,ward,oceania,2022,0.78,0.47,1.18,cdc_nhsn_ecdc_hainet,hai_surveillance_2022
escherichia_coli,icu,north_america,2023,2.69,1.61,4.03,cdc_nhsn_ecdc_hainet,hai_surveillance_2023
escherichia_coli,ward,north_america,2023,0.9,0.54,1.34,cdc_nhsn_ecdc_hainet,hai_surveillance_2023
escherichia_coli,icu,europe,2023,2.28,1.37,3.43,cdc_nhsn_ecdc_hainet,hai_surveillance_2023
escherichia_coli,ward,europe,2023,0.76,0.46,1.14,cdc_nhsn_ecdc_hainet,hai_surveillance_2023
escherichia_coli,icu,asia,2023,3.09,1.85,4.64,cdc_nhsn_ecdc_hainet,hai_surveillance_2023
escherichia_coli,ward,asia,2023,1.03,0.62,1.55,cdc_nhsn_ecdc_hainet,hai_surveillance_2023
escherichia_coli,icu,africa,2023,3.63,2.18,5.44,cdc_nhsn_ecdc_hainet,hai_surveillance_2023
escherichia_coli,ward,africa,2023,1.21,0.73,1.81,cdc_nhsn_ecdc_hainet,hai_surveillance_2023
escherichia_coli,icu,south_america,2023,3.23,1.94,4.84,cdc_nhsn_ecdc_hainet,hai_surveillance_2023
escherichia_coli,ward,south_america,2023,1.08,0.65,1.61,cdc_nhsn_ecdc_hainet,hai_surveillance_2023
escherichia_coli,icu,oceania,2023,2.42,1.45,3.63,cdc_nhsn_ecdc_hainet,hai_surveillance_2023
escherichia_coli,ward,oceania,2023,0.81,0.48,1.21,cdc_nhsn_ecdc_hainet,hai_surveillance_2023
escherichia_coli,icu,north_america,2024,2.76,1.66,4.14,cdc_nhsn_ecdc_hainet,hai_surveillance_2024
escherichia_coli,ward,north_america,2024,0.92,0.55,1.38,cdc_nhsn_ecdc_hainet,hai_surveillance_2024
escherichia_coli,icu,europe,2024,2.35,1.41,3.52,cdc_nhsn_ecdc_hainet,hai_surveillance_2024
escherichia_coli,ward,europe,2024,0.78,0.47,1.17,cdc_nhsn_ecdc_hainet,hai_surveillance_2024
escherichia_coli,icu,asia,2024,3.17,1.9,4.76,cdc_nhsn_ecdc_hainet,hai_surveillance_2024
escherichia_coli,ward,asia,2024,1.06,0.63,1.59,cdc_nhsn_ecdc_hainet,hai_surveillance_2024
escherichia_coli,icu,africa,2024,3.73,2.24,5.59,cdc_nhsn_ecdc_hainet,hai_surveillance_2024
escherichia_coli,ward,africa,2024,1.24,0.75,1.86,cdc_nhsn_ecdc_hainet,hai_surveillance_2024
escherichia_coli,icu,south_america,2024,3.31,1.99,4.97,cdc_nhsn_ecdc_hainet,hai_surveillance_2024
escherichia_coli,ward,south_america,2024,1.1,0.66,1.66,cdc_nhsn_ecdc_hainet,hai_surveillance_2024
escherichia_coli,icu,oceania,2024,2.48,1.49,3.73,cdc_nhsn_ecdc_hainet,hai_surveillance_2024
escherichia_coli,ward,oceania,2024,0.83,0.5,1.24,cdc_nhsn_ecdc_hainet,hai_surveillance_2024
klebsiella_pneumoniae,icu,north_america,2019,1.8,1.08,2.7,cdc_nhsn_ecdc_hainet,hai_surveillance_2019
klebsiella_pneumoniae,ward,north_america,2019,0.6,0.36,0.9,cdc_nhsn_ecdc_hainet,hai_surveillance_2019
klebsiella_pneumoniae,icu,europe,2019,1.53,0.92,2.29,cdc_nhsn_ecdc_hainet,hai_surveillance_2019
klebsiella_pneumoniae,ward,europe,2019,0.51,0.31,0.77,cdc_nhsn_ecdc_hainet,hai_surveillance_2019
klebsiella_pneumoniae,icu,asia,2019,2.07,1.24,3.1,cdc_nhsn_ecdc_hainet,hai_surveillance_2019
klebsiella_pneumoniae,ward,asia,2019,0.69,0.41,1.03,cdc_nhsn_ecdc_hainet,hai_surveillance_2019
klebsiella_pneumoniae,icu,africa,2019,2.43,1.46,3.65,cdc_nhsn_ecdc_hainet,hai_surveillance_2019
klebsiella_pneumoniae,ward,africa,2019,0.81,0.49,1.22,cdc_nhsn_ecdc_hainet,hai_surveillance_2019
klebsiella_pneumoniae,icu,south_america,2019,2.16,1.3,3.24,cdc_nhsn_ecdc_hainet,hai_surveillance_2019
klebsiella_pneumoniae,ward,south_america,2019,0.72,0.43,1.08,cdc_nhsn_ecdc_hainet,hai_surveillance_2019
klebsiella_pneumoniae,icu,oceania,2019,1.62,0.97,2.43,cdc_nhsn_ecdc_hainet,hai_surveillance_2019
klebsiella_pneumoniae,ward,oceania,2019,0.54,0.32,0.81,cdc_nhsn_ecdc_hainet,hai_surveillance_2019
klebsiella_pneumoniae,icu,north_america,2020,1.89,1.13,2.83,cdc_nhsn_ecdc_hainet,hai_surveillance_2020
klebsiella_pneumoniae,ward,north_america,2020,0.63,0.38,0.95,cdc_nhsn_ecdc_hainet,hai_surveillance_2020
klebsiella_pneumoniae,icu,europe,2020,1.61,0.96,2.41,cdc_nhsn_ecdc_hainet,hai_surveillance_2020
klebsiella_pneumoniae,ward,europe,2020,0.54,0.32,0.8,cdc_nhsn_ecdc_hainet,hai_surveillance_2020
klebsiella_pneumoniae,icu,asia,2020,2.17,1.3,3.26,cdc_nhsn_ecdc_hainet,hai_surveillance_2020
klebsiella_pneumoniae,ward,asia,2020,0.72,0.43,1.09,cdc_nhsn_ecdc_hainet,hai_surveillance_2020
klebsiella_pneumoniae,icu,africa,2020,2.55,1.53,3.83,cdc_nhsn_ecdc_hainet,hai_surveillance_2020
klebsiella_pneumoniae,ward,africa,2020,0.85,0.51,1.28,cdc_nhsn_ecdc_hainet,hai_surveillance_2020
klebsiella_pneumoniae,icu,south_america,2020,2.27,1.36,3.4,cdc_nhsn_ecdc_hainet,hai_surveillance_2020
