Bacteria,sulfanilamide,penicillin_g,ampicillin,amoxicillin,piperacillin,ticarcillin,cephalexin,cefazolin,cefuroxime,ceftriaxone,cefixime,ceftazidime,cefepime,ceftaroline,meropenem,imipenem_c,ertapenem,aztreonam,erythromycin,azithromycin,clarithromycin,clindamycin,gentamicin,tobramycin,amikacin,ciprofloxacin,levofloxacin,moxifloxacin,ofloxacin,tetracycline,doxycycline,minocycline,tigecycline,vancomycin,fidaxomicin,teicoplanin,dalbavancin,linezolid,tedizolid,daptomycin,quinu_dalfo,trim_sulf,chloramphenicol,nitrofurantoin,fosfomycin,retapamulin,fusidic_a,metronidazole,furazolidone,rifampicin,amoxicillin_clavulanate,piperacillin_tazobactam,ampicillin_sulbactam,ticarcillin_clavulanate,ceftazidime_avibactam,aztreonam_avibactam,meropenem_vaborbactam,colistin,flucloxacillin,cefiderocol,ceftolozane_tazobactam
Acinetobacter baumannii,.,.,.,.,0.12,0.1,.,.,.,.,.,0.12,0.1,.,0.1,0.08,.,.,.,.,.,.,0.12,0.1,0.08,0.15,0.14,0.12,0.14,0.12,0.1,0.08,0.08,.,.,.,.,.,.,.,.,0.12,0.12,.,.,.,.,.,.,0.12,.,0.08,.,0.1,0.05,0.05,0.04,0.06,.,0.05,.
Citrobacter spp.,0.06,.,0.18,0.18,0.18,0.18,0.21,0.21,0.18,0.15,0.15,0.21,0.18,0.24,0.06,0.06,0.09,0.18,.,.,.,.,0.18,0.21,0.15,0.21,0.18,0.21,0.21,0.15,0.12,0.09,0.09,.,.,.,.,.,.,.,.,0.18,0.15,0.09,0.09,.,.,.,.,0.12,0.15,0.12,0.18,0.18,0.06,0.06,0.06,0.12,0.21,0.01,0.04
Enterobacter spp.,0.06,.,0.24,0.24,0.18,0.21,0.24,0.24,0.21,0.3,0.3,0.21,0.18,0.3,0.09,0.09,0.12,0.21,.,.,.,.,0.18,0.21,0.15,0.21,0.18,0.21,0.21,0.15,0.12,0.09,0.09,.,.,.,.,.,.,.,.,0.21,0.18,0.15,0.15,.,.,.,.,0.15,0.18,0.15,0.24,0.21,0.06,0.06,0.06,0.12,0.24,0.01,0.04
Enterococcus faecalis,.,0.05,0.05,0.05,0.08,0.08,.,.,.,.,.,.,.,.,0.08,0.08,.,.,0.2,0.18,0.2,0.22,.,.,.,0.15,0.12,0.15,0.15,0.15,0.12,0.08,0.08,0.02,0.02,0.03,0.03,0.02,0.02,0.02,.,0.15,0.12,0.05,0.05,.,.,.,.,.,0.05,0.08,0.05,0.08,.,.,0.08,.,.,.,.
Enterococcus faecium,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.32,0.3,0.32,0.35,.,.,.,0.38,0.35,0.38,0.38,0.28,0.25,0.22,0.22,0.18,0.18,0.2,0.2,0.05,0.05,0.05,0.25,0.38,0.35,0.32,0.32,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Escherichia coli,0.15,.,0.38,0.38,0.15,0.18,0.35,0.35,0.28,0.12,0.12,0.14,0.1,0.1,0.02,0.02,0.02,0.12,.,.,.,.,0.1,0.12,0.05,0.18,0.16,0.15,0.18,0.25,0.22,0.18,0.18,.,.,.,.,.,.,.,.,0.25,0.1,0.05,0.05,.,.,.,.,0.12,0.1,0.08,0.15,0.16,0.02,0.02,0.02,0.08,0.35,0.01,0.04
Klebsiella pneumoniae,0.18,.,0.45,0.45,0.2,0.22,0.42,0.42,0.35,0.18,0.18,0.16,0.14,0.15,0.08,0.08,0.1,0.18,.,.,.,.,0.14,0.16,0.08,0.2,0.18,0.18,0.2,0.18,0.15,0.12,0.12,.,.,.,.,.,.,.,.,0.28,0.12,0.15,0.15,.,.,.,.,0.15,0.12,0.1,0.28,0.22,0.05,0.05,0.04,0.1,0.42,0.01,0.04
Morganella spp.,0.12,.,0.24,0.24,0.21,0.24,0.24,0.24,0.21,0.21,0.21,0.24,0.21,0.3,0.06,0.06,0.09,0.18,.,.,.,.,0.18,0.21,0.15,0.21,0.18,0.21,0.21,0.15,0.12,0.09,0.09,.,.,.,.,.,.,.,.,0.21,0.18,0.15,0.15,.,.,.,.,0.15,0.18,0.15,0.24,0.21,0.06,0.06,0.06,0.12,0.24,0.01,0.04
Proteus spp.,0.12,.,0.18,0.18,0.15,0.18,0.18,0.18,0.15,0.12,0.12,0.15,0.12,0.18,0.06,0.06,0.06,0.15,.,.,.,.,0.18,0.21,0.15,0.18,0.15,0.18,0.18,0.12,0.09,0.06,0.06,.,.,.,.,.,.,.,.,0.18,0.15,0.06,0.06,.,.,.,.,0.12,0.12,0.09,0.15,0.15,0.06,0.06,0.06,0.12,0.18,0.01,0.04
Serratia spp.,0.12,.,.,.,0.24,0.27,.,.,0.24,0.21,0.21,0.18,0.21,0.3,0.06,0.06,0.09,0.18,.,.,.,.,0.21,0.24,0.18,0.18,0.15,0.18,0.18,0.12,0.09,0.06,0.06,.,.,.,.,.,.,.,.,0.21,0.18,0.12,0.12,.,.,.,.,0.15,0.21,0.15,0.24,0.21,0.06,0.06,0.06,0.12,.,0.01,0.04
