bacteria,drug,potency_when_no_r
acinetobacter_baumannii,sulfanilamide,0.1
acinetobacter_baumannii,penicillin_g,0.05
acinetobacter_baumannii,ampicillin,0.05
acinetobacter_baumannii,amoxicillin,0.05
acinetobacter_baumannii,piperacillin,0.6
acinetobacter_baumannii,ticarcillin,0.5
acinetobacter_baumannii,cephalexin,0.05
acinetobacter_baumannii,cefazolin,0.05
acinetobacter_baumannii,cefuroxime,0.1
acinetobacter_baumannii,ceftriaxone,0.1
acinetobacter_baumannii,ceftazidime,0.6
acinetobacter_baumannii,cefepime,0.7
acinetobacter_baumannii,ceftaroline,0.1
acinetobacter_baumannii,ceftolozane_tazobactam,0.1
acinetobacter_baumannii,cefiderocol,0.55
acinetobacter_baumannii,meropenem,0.85
acinetobacter_baumannii,imipenem_c,0.8
acinetobacter_baumannii,ertapenem,0.1
acinetobacter_baumannii,aztreonam,0.1
acinetobacter_baumannii,erythromycin,0
acinetobacter_baumannii,azithromycin,0
acinetobacter_baumannii,clarithromycin,0
acinetobacter_baumannii,clindamycin,0
acinetobacter_baumannii,gentamicin,0.75
acinetobacter_baumannii,tobramycin,0.7
acinetobacter_baumannii,amikacin,0.8
acinetobacter_baumannii,ciprofloxacin,0.7
acinetobacter_baumannii,levofloxacin,0.7
acinetobacter_baumannii,moxifloxacin,0.6
acinetobacter_baumannii,ofloxacin,0.6
acinetobacter_baumannii,tetracycline,0.1
acinetobacter_baumannii,doxycycline,0.15
acinetobacter_baumannii,minocycline,0.55
acinetobacter_baumannii,tigecycline,0.55
acinetobacter_baumannii,vancomycin,0
acinetobacter_baumannii,teicoplanin,0
acinetobacter_baumannii,dalbavancin,0
acinetobacter_baumannii,linezolid,0
acinetobacter_baumannii,tedizolid,0
acinetobacter_baumannii,daptomycin,0.1
acinetobacter_baumannii,quinu_dalfo,0
acinetobacter_baumannii,trim_sulf,0.15
acinetobacter_baumannii,chloramphenicol,0.15
acinetobacter_baumannii,nitrofurantoin,0.1
acinetobacter_baumannii,fosfomycin,0.4
acinetobacter_baumannii,retapamulin,0
acinetobacter_baumannii,fusidic_a,0
acinetobacter_baumannii,metronidazole,0
acinetobacter_baumannii,fidaxomicin,0.1
acinetobacter_baumannii,furazolidone,0.1
acinetobacter_baumannii,rifampicin,0.6
acinetobacter_baumannii,amoxicillin_clavulanate,0.05
acinetobacter_baumannii,piperacillin_tazobactam,0.7
acinetobacter_baumannii,ampicillin_sulbactam,0.7
acinetobacter_baumannii,ticarcillin_clavulanate,0.6
acinetobacter_baumannii,ceftazidime_avibactam,0.7
acinetobacter_baumannii,meropenem_vaborbactam,0.8
acinetobacter_baumannii,colistin,0.9
acinetobacter_baumannii,flucloxacillin,0.01
acinetobacter_baumannii,aztreonam_avibactam,0.1
acinetobacter_baumannii,cefixime,0.1
acinetobacter_baumannii,nalidixic_acid,0
citrobacter_spp.,sulfanilamide,0.5
citrobacter_spp.,penicillin_g,0.1
citrobacter_spp.,ampicillin,0.1
citrobacter_spp.,amoxicillin,0.1
citrobacter_spp.,piperacillin,0.8
citrobacter_spp.,ticarcillin,0.75
citrobacter_spp.,cephalexin,0.1
citrobacter_spp.,cefazolin,0.1
citrobacter_spp.,cefuroxime,0.8
citrobacter_spp.,ceftriaxone,0.85
citrobacter_spp.,ceftazidime,0.8
citrobacter_spp.,cefepime,0.9
citrobacter_spp.,ceftaroline,0.1
citrobacter_spp.,ceftolozane_tazobactam,0.8
