bacteria,drug,resistance_representable,maximum_any_r,positive_effect_mechanisms
acinetobacter_baumannii,sulfanilamide,false,0,
acinetobacter_baumannii,penicillin_g,false,0,
acinetobacter_baumannii,ampicillin,false,0,
acinetobacter_baumannii,amoxicillin,false,0,
acinetobacter_baumannii,piperacillin,true,0.9999999919,enzyme_esbl_ctx_m;enzyme_esbl_tem;enzyme_esbl_shv;enzyme_kpc;enzyme_ndm_vim;enzyme_oxa_48;enzyme_ampc_cmy;enzyme_ampc_dha;mutation_ampc_derepression;mutation_pbp_mosaic
acinetobacter_baumannii,ticarcillin,true,0.9999999919,enzyme_esbl_ctx_m;enzyme_esbl_tem;enzyme_esbl_shv;enzyme_kpc;enzyme_ndm_vim;enzyme_oxa_48;enzyme_ampc_cmy;enzyme_ampc_dha;mutation_ampc_derepression;mutation_pbp_mosaic
acinetobacter_baumannii,cephalexin,false,0,
acinetobacter_baumannii,cefazolin,false,0,
acinetobacter_baumannii,cefuroxime,false,0,
acinetobacter_baumannii,ceftriaxone,false,0,
acinetobacter_baumannii,ceftazidime,true,0.999999945334375,enzyme_esbl_ctx_m;enzyme_esbl_tem;enzyme_esbl_shv;enzyme_kpc;enzyme_ndm_vim;enzyme_oxa_48;enzyme_ampc_cmy;enzyme_ampc_dha;mutation_ampc_derepression;enzyme_oxa_acinetobacter;mutation_pbp_mosaic
acinetobacter_baumannii,cefepime,true,0.9995473284624999,enzyme_esbl_ctx_m;enzyme_esbl_tem;enzyme_esbl_shv;enzyme_kpc;enzyme_ndm_vim;enzyme_oxa_48;enzyme_ampc_cmy;enzyme_ampc_dha;mutation_ampc_derepression;enzyme_oxa_acinetobacter;mutation_pbp_mosaic
acinetobacter_baumannii,ceftaroline,false,0,
acinetobacter_baumannii,ceftolozane_tazobactam,false,0,
acinetobacter_baumannii,cefiderocol,true,0.6,mutation_siderophore_uptake
acinetobacter_baumannii,meropenem,true,0.9997,enzyme_kpc;enzyme_ndm_vim;enzyme_oxa_48;enzyme_oxa_acinetobacter
