Bacteria,sulfanilamide,penicilling,ampicillin,amoxicillin,piperacillin,ticarcillin,cephalexin,cefazolin,cefuroxime,ceftriaxone,ceftazidime,cefepime,ceftaroline,meropenem,imipenem_c,ertapenem,aztreonam,erythromycin,azithromycin,clarithromycin,clindamycin,gentamicin,tobramycin,amikacin,ciprofloxacin,levofloxacin,moxifloxacin,ofloxacin,tetracycline,doxyclycline,minocycline,vancomycin,teicoplanin,dalbavancin,linezolid,tedizolid,quinu_dalfo,trim_sulf,chlorampheni,nitrofurantoin,retapamulin,fusidic_a,metronidazole,furazolidone,rifampicin,amoxicillin_clavulanate,piperacillin_tazobactam,ampicillin_sulbactam,ticarcillin_clavulanate,ceftazidime_avibactam,meropenem_vaborbactam,colistin
Acinetobacter baumannii,.,.,.,.,0.88,0.85,.,.,.,.,0.85,0.82,.,0.82,0.80,.,.,.,.,.,.,0.85,0.82,0.78,0.90,0.88,0.85,0.88,0.80,0.78,0.75,.,.,.,.,.,.,0.85,0.85,.,.,.,.,.,0.85,.,0.75,.,0.78,0.68,0.62,0.72
Citrobacter spp.,0.6,.,0.7,0.7,0.7,0.7,0.725,0.725,0.7,0.675,0.725,0.7,0.75,0.6,0.6,0.625,0.7,.,.,.,.,0.7,0.725,0.675,0.725,0.7,0.725,0.725,0.675,0.65,0.625,.,.,.,.,.,.,0.7,0.675,0.625,.,.,.,.,0.65,0.675,0.65,0.7,0.7,0.6,0.6,0.65
Enterobacter spp.,0.6,.,0.75,0.75,0.7,0.725,0.75,0.75,0.725,0.8,0.725,0.7,0.8,0.625,0.625,0.65,0.725,.,.,.,.,0.7,0.725,0.675,0.725,0.7,0.725,0.725,0.675,0.65,0.625,.,.,.,.,.,.,0.725,0.7,0.675,.,.,.,.,0.675,0.7,0.675,0.75,0.725,0.6,0.6,0.65
Enterococcus faecalis,.,0.6,0.6,0.6,0.65,0.65,.,.,.,.,.,.,.,0.65,0.65,.,.,0.75,0.725,0.75,0.775,.,.,.,0.725,0.7,0.725,0.725,0.65,0.625,0.6,0.575,0.6,0.6,0.575,0.575,.,0.7,0.675,0.6,.,.,.,.,.,0.6,0.65,0.6,0.65,.,0.65,.
Enterococcus faecium,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.85,0.825,0.85,0.875,.,.,.,0.9,0.875,0.9,0.9,0.8,0.775,0.75,0.75,0.775,0.775,0.6,0.6,0.8,0.9,0.875,0.85,.,.,.,.,.,.,.,.,.,.,.,.
Escherichia coli,0.68,.,0.85,0.85,0.72,0.75,0.85,0.85,0.82,0.78,0.80,0.75,0.78,0.75,0.72,0.72,0.78,.,.,.,.,0.72,0.75,0.68,0.82,0.80,0.78,0.82,0.75,0.72,0.68,.,.,.,.,.,.,0.78,0.72,0.62,.,.,.,.,0.68,0.65,0.62,0.72,0.75,0.58,0.55,0.68
Klebsiella pneumoniae,0.70,.,0.92,0.92,0.78,0.80,0.92,0.92,0.88,0.82,0.80,0.78,0.85,0.82,0.80,0.82,0.80,.,.,.,.,0.78,0.80,0.72,0.82,0.80,0.78,0.82,0.75,0.72,0.68,.,.,.,.,.,.,0.80,0.75,0.72,.,.,.,.,0.72,0.70,0.68,0.85,0.82,0.65,0.60,0.72
Morganella spp.,0.65,.,0.75,0.75,0.725,0.75,0.75,0.75,0.725,0.725,0.75,0.725,0.8,0.6,0.6,0.625,0.7,.,.,.,.,0.7,0.725,0.675,0.725,0.7,0.725,0.725,0.675,0.65,0.625,.,.,.,.,.,.,0.725,0.7,0.675,.,.,.,.,0.675,0.7,0.675,0.75,0.725,0.6,0.6,0.65
Proteus spp.,0.65,.,0.7,0.7,0.675,0.7,0.7,0.7,0.675,0.65,0.675,0.65,0.7,0.6,0.6,0.6,0.675,.,.,.,.,0.7,0.725,0.675,0.7,0.675,0.7,0.7,0.65,0.625,0.6,.,.,.,.,.,.,0.7,0.675,0.6,.,.,.,.,0.65,0.65,0.625,0.675,0.675,0.6,0.6,0.65
Serratia spp.,0.65,.,.,.,0.75,0.775,.,.,0.75,0.725,0.7,0.725,0.8,0.6,0.6,0.625,0.7,.,.,.,.,0.725,0.75,0.7,0.7,0.675,0.7,0.7,0.65,0.625,0.6,.,.,.,.,.,.,0.725,0.7,0.65,.,.,.,.,0.675,0.725,0.675,0.75,0.725,0.6,0.6,0.65
