Bacteria,sulfanilamide,penicillin_g,ampicillin,amoxicillin,piperacillin,ticarcillin,cephalexin,cefazolin,cefuroxime,ceftriaxone,ceftazidime,cefepime,ceftaroline,ceftolozane_tazobactam,cefiderocol,meropenem,imipenem_c,ertapenem,aztreonam,erythromycin,azithromycin,clarithromycin,clindamycin,gentamicin,tobramycin,amikacin,ciprofloxacin,levofloxacin,moxifloxacin,ofloxacin,tetracycline,doxycycline,minocycline,tigecycline,vancomycin,teicoplanin,dalbavancin,linezolid,tedizolid,daptomycin,quinu_dalfo,trim_sulf,chloramphenicol,nitrofurantoin,fosfomycin,retapamulin,fusidic_a,metronidazole,fidaxomicin,furazolidone,rifampicin,amoxicillin_clavulanate,piperacillin_tazobactam,ampicillin_sulbactam,ticarcillin_clavulanate,ceftazidime_avibactam,meropenem_vaborbactam,colistin,flucloxacillin,aztreonam_avibactam,cefixime
acinetobacter_baumannii,0.100000,0.050000,0.050000,0.050000,0.600000,0.500000,0.050000,0.050000,0.100000,0.100000,0.600000,0.700000,0.100000,.,.,0.850000,0.800000,0.100000,0.100000,0.000000,0.000000,0.000000,0.000000,0.750000,0.700000,0.800000,0.700000,0.700000,0.600000,0.600000,0.600000,0.700000,0.800000,.,0.000000,0.000000,0.000000,0.000000,0.000000,.,0.000000,0.600000,0.700000,0.100000,.,0.000000,0.000000,0.000000,.,0.100000,0.600000,0.050000,0.700000,0.700000,0.600000,0.700000,0.800000,0.900000,0.050000,0.100000,0.100000
citrobacter_spp.,0.500000,0.100000,0.700000,0.700000,0.800000,0.750000,0.700000,0.750000,0.800000,0.850000,0.800000,0.900000,0.600000,.,.,0.950000,0.950000,0.900000,0.850000,0.100000,0.100000,0.100000,0.100000,0.850000,0.800000,0.900000,0.900000,0.850000,0.700000,0.800000,0.800000,0.850000,0.850000,.,0.100000,0.100000,0.100000,0.100000,0.100000,.,0.100000,0.900000,0.850000,0.800000,.,0.050000,0.050000,0.050000,.,0.100000,0.700000,0.900000,0.900000,0.850000,0.800000,0.900000,0.950000,0.700000,0.050000,0.850000,0.850000
enterobacter_spp.,0.500000,0.100000,0.500000,0.500000,0.750000,0.700000,0.500000,0.500000,0.600000,0.500000,0.800000,0.850000,0.400000,.,.,0.950000,0.950000,0.900000,0.800000,0.000000,0.000000,0.000000,0.000000,0.850000,0.800000,0.900000,0.900000,0.850000,0.700000,0.800000,0.800000,0.850000,0.850000,.,0.000000,0.000000,0.000000,0.000000,0.000000,.,0.000000,0.850000,0.800000,0.700000,.,0.000000,0.000000,0.000000,.,0.100000,0.600000,0.700000,0.850000,0.700000,0.800000,0.900000,0.950000,0.700000,0.050000,0.800000,0.500000
enterococcus_faecalis,0.100000,0.800000,0.900000,0.900000,0.750000,0.700000,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000,.,.,0.700000,0.700000,0.100000,0.000000,0.700000,0.700000,0.700000,0.700000,0.100000,0.100000,0.100000,0.700000,0.700000,0.700000,0.700000,0.800000,0.800000,0.850000,.,0.950000,0.900000,0.900000,0.900000,0.900000,.,0.100000,0.050000,0.800000,0.900000,.,0.100000,0.100000,0.100000,.,0.100000,0.100000,0.900000,0.750000,0.900000,0.700000,0.100000,0.750000,0.000000,0.100000,0.000000,0.100000
enterococcus_faecium,0.100000,0.100000,0.850000,0.800000,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000,.,.,0.100000,0.100000,0.100000,0.000000,0.700000,0.700000,0.700000,0.700000,0.750000,0.100000,0.100000,0.700000,0.700000,0.700000,0.700000,0.800000,0.800000,0.850000,.,0.900000,0.850000,0.850000,0.900000,0.900000,.,0.700000,0.050000,0.700000,0.700000,.,0.100000,0.100000,0.100000,.,0.100000,0.100000,0.800000,0.100000,0.850000,0.100000,0.100000,0.100000,0.000000,0.100000,0.000000,0.100000
escherichia_coli,0.500000,0.100000,0.800000,0.800000,0.850000,0.800000,0.700000,0.750000,0.800000,0.900000,0.900000,0.900000,0.700000,.,.,0.950000,0.950000,0.950000,0.900000,0.000000,0.000000,0.000000,0.000000,0.900000,0.850000,0.900000,0.950000,0.900000,0.800000,0.900000,0.800000,0.800000,0.850000,.,0.000000,0.000000,0.000000,0.000000,0.000000,.,0.000000,0.900000,0.850000,0.950000,.,0.000000,0.000000,0.000000,.,0.100000,0.700000,0.900000,0.970000,0.900000,0.900000,0.950000,0.950000,0.700000,0.050000,0.900000,0.900000
klebsiella_pneumoniae,0.500000,0.100000,0.400000,0.400000,0.800000,0.750000,0.500000,0.500000,0.700000,0.900000,0.850000,0.920000,0.500000,.,.,0.940000,0.950000,0.940000,0.850000,0.000000,0.000000,0.000000,0.000000,0.900000,0.850000,0.900000,0.900000,0.850000,0.700000,0.800000,0.800000,0.800000,0.850000,.,0.000000,0.000000,0.000000,0.000000,0.000000,.,0.000000,0.900000,0.850000,0.800000,.,0.000000,0.000000,0.000000,.,0.100000,0.600000,0.850000,0.920000,0.750000,0.750000,0.950000,0.950000,0.700000,0.050000,0.850000,0.900000
morganella_spp.,0.500000,0.100000,0.500000,0.500000,0.750000,0.700000,0.500000,0.500000,0.600000,0.800000,0.800000,0.850000,0.400000,.,.,0.950000,0.950000,0.900000,0.800000,0.100000,0.100000,0.100000,0.100000,0.850000,0.800000,0.900000,0.900000,0.850000,0.700000,0.800000,0.800000,0.850000,0.850000,.,0.100000,0.100000,0.100000,0.100000,0.100000,.,0.100000,0.800000,0.850000,0.700000,.,0.050000,0.050000,0.050000,.,0.100000,0.600000,0.700000,0.850000,0.700000,0.800000,0.900000,0.950000,0.700000,0.050000,0.800000,0.800000
proteus_spp.,0.500000,0.100000,0.800000,0.800000,0.850000,0.800000,0.700000,0.750000,0.800000,0.950000,0.900000,0.900000,0.700000,.,.,0.950000,0.950000,0.950000,0.900000,0.000000,0.000000,0.000000,0.000000,0.800000,0.750000,0.850000,0.900000,0.850000,0.700000,0.800000,0.800000,0.800000,0.850000,.,0.000000,0.000000,0.000000,0.000000,0.000000,.,0.000000,0.900000,0.850000,0.800000,.,0.000000,0.000000,0.000000,.,0.100000,0.700000,0.900000,0.950000,0.900000,0.900000,0.950000,0.950000,0.050000,0.050000,0.900000,0.950000
serratia_spp.,0.500000,0.100000,0.100000,0.100000,0.750000,0.700000,0.100000,0.100000,0.600000,0.800000,0.850000,0.850000,0.500000,.,.,0.950000,0.950000,0.900000,0.850000,0.100000,0.100000,0.100000,0.100000,0.850000,0.800000,0.900000,0.850000,0.800000,0.700000,0.750000,0.800000,0.800000,0.850000,.,0.100000,0.100000,0.100000,0.100000,0.100000,.,0.100000,0.850000,0.800000,0.700000,.,0.050000,0.050000,0.050000,.,0.100000,0.600000,0.700000,0.850000,0.700000,0.750000,0.900000,0.950000,0.050000,0.100000,0.850000,0.800000
